Autoscaler,DisplayName,MeanScaleUpEvents,StdScaleUpEvents,MeanScaleDownEvents,StdScaleDownEvents,MeanDecisionEvents,StdDecisionEvents,MeanTotalScalingMagnitude,StdTotalScalingMagnitude,MinTotalScalingMagnitude,MaxTotalScalingMagnitude,Runs
queue-CDT120,QUEUE-CDT120,23.4,1.51657508881031,21.6,1.816590212458495,45.0,2.5495097567963922,67.76190476190476,3.950408285681716,61.5,71.85714285714286,5
queue-CDT300,QUEUE-CDT300,21.4,1.9493588689617931,25.0,0.7071067811865476,46.4,1.5165750888103104,65.62857142857142,1.7015149312376041,63.46428571428571,67.85714285714286,5
hpa80-CDT120,HPA80-CDT120,17.8,1.0954451150103324,12.8,1.0954451150103326,30.6,1.9493588689617931,59.2,1.0954451150103328,57.99999999999999,60.0,5
hpa80-CDT300,HPA80-CDT300,17.2,1.4832396974191324,13.8,2.16794833886788,31.0,2.345207879911715,58.4,2.6076809620810595,54.0,60.0,5
