Autoscaler,Minute,MeanReplicas,StdReplicas,MinReplicas,MaxReplicas,Runs
queue-CDT300,9,11.0,0.0,11.0,11.0,5
queue-CDT300,10,11.0,0.0,11.0,11.0,5
queue-CDT300,11,11.0,0.0,11.0,11.0,5
queue-CDT300,12,11.0,0.0,11.0,11.0,5
queue-CDT300,13,11.0,0.0,11.0,11.0,5
queue-CDT300,14,11.05,0.11180339887498954,11.0,11.25,5
queue-CDT300,15,11.6,0.547722557505166,11.0,12.0,5
queue-CDT300,16,11.725,0.43660622991432446,11.0,12.0,5
queue-CDT300,17,11.646428571428572,0.38680401618749416,11.0,12.0,5
queue-CDT300,18,11.0,0.0,11.0,11.0,5
queue-CDT300,19,11.2,0.44721359549995787,11.0,12.0,5
queue-CDT300,20,11.2,0.44721359549995787,11.0,12.0,5
queue-CDT300,21,11.2,0.44721359549995787,11.0,12.0,5
queue-CDT300,22,11.553571428571427,0.31186159279594605,11.142857142857142,12.0,5
queue-CDT300,23,12.075,0.5723207321145751,11.125,12.571428571428571,5
queue-CDT300,24,12.896428571428572,1.0149080082973636,11.125,13.571428571428571,5
queue-CDT300,25,15.2,1.8093603074628957,12.0,16.375,5
queue-CDT300,26,13.71904761904762,0.8601798050710998,12.285714285714285,14.428571428571429,5
queue-CDT300,27,13.428571428571427,1.5779087167410375,12.0,16.142857142857142,5
queue-CDT300,28,12.5,0.7447734554883115,11.25,13.125,5
queue-CDT300,29,12.0,0.7071067811865477,11.0,13.0,5
queue-CDT300,30,11.8,0.44721359549995804,11.0,12.0,5
queue-CDT300,31,11.925,0.5836308764964377,11.0,12.625,5
queue-CDT300,32,11.942857142857143,0.6111214181773557,11.0,12.714285714285714,5
queue-CDT300,33,11.714285714285714,0.4164965639175214,11.0,12.0,5
queue-CDT300,34,11.25,0.43301270189221924,11.0,12.0,5
queue-CDT300,35,11.028571428571428,0.06388765649999396,11.0,11.142857142857142,5
queue-CDT300,36,11.085714285714285,0.1916629694999822,11.0,11.428571428571429,5
queue-CDT300,37,11.285714285714286,0.44031528592635566,11.0,12.0,5
queue-CDT300,38,11.691666666666666,0.41624979145807267,11.0,12.0,5
queue-CDT300,39,11.8,0.44721359549995815,11.0,12.0,5
queue-CDT300,40,12.114285714285714,0.4090806018078954,11.571428571428571,12.714285714285714,5
queue-CDT300,41,13.1,0.7226494462892933,12.0,13.833333333333332,5
queue-CDT300,42,13.353571428571428,0.708953310111722,12.285714285714285,14.0,5
queue-CDT300,43,13.753571428571428,0.484517959482643,13.0,14.285714285714285,5
queue-CDT300,44,14.028571428571428,0.325764407171182,13.714285714285715,14.571428571428571,5
queue-CDT300,45,13.933333333333334,0.14907119849998532,13.666666666666668,14.0,5
queue-CDT300,46,14.314285714285713,0.3557114170853927,14.0,14.857142857142858,5
queue-CDT300,47,15.314285714285713,0.8293100156399995,14.0,16.0,5
queue-CDT300,48,17.821428571428573,2.011763872215381,14.285714285714285,19.285714285714285,5
queue-CDT300,49,21.80238095238095,3.1098966085868147,16.25,23.42857142857143,5
queue-CDT300,50,21.954761904761906,0.9691382898963963,20.5,22.75,5
queue-CDT300,51,21.714285714285715,0.8978432207126088,21.0,23.142857142857142,5
queue-CDT300,52,22.376190476190477,0.29180026094959005,22.0,22.714285714285715,5
queue-CDT300,53,24.776190476190475,1.5645230667215657,22.0,25.666666666666668,5
queue-CDT300,54,27.708333333333332,2.86834979658262,22.75,29.75,5
queue-CDT300,55,26.521428571428572,0.2667835628140444,26.285714285714285,26.857142857142858,5
queue-CDT300,56,25.623809523809523,2.5129144889997637,24.0,30.0,5
queue-CDT300,57,25.592857142857145,1.2875978266777655,23.857142857142858,27.25,5
queue-CDT300,58,24.503571428571426,1.1877617863967884,23.0,26.0,5
queue-CDT300,59,24.466666666666665,0.9383792173506152,23.5,25.833333333333332,5
queue-CDT300,60,23.853571428571428,1.0479876245569362,23.0,25.0,5
