Method,DisplayName,Minute,MeanLatency_ms,StdLatency_ms,MeanCumulativeSLOViolationRate_percent,StdCumulativeSLOViolationRate_percent,Runs
queue-CDT120,Queue-CDT120,0,444.0,90.44335243676011,4.090230880230883,1.6801449315208286,5
queue-CDT120,Queue-CDT120,1,308.0,42.07136793592527,2.381669962945283,0.9343936218361498,5
queue-CDT120,Queue-CDT120,2,354.0,19.493588689617933,3.0309003496503517,0.49899420313629544,5
queue-CDT120,Queue-CDT120,3,526.0,86.48699324175861,6.067240259740263,1.9254380633372794,5
queue-CDT120,Queue-CDT120,4,494.0,63.48228099241552,5.259540372670812,1.1131156822742692,5
queue-CDT120,Queue-CDT120,5,484.0,55.04543577809154,5.056166982922203,1.0317003390624304,5
queue-CDT120,Queue-CDT120,6,494.0,77.00649323271382,5.233939393939397,1.4726545355143976,5
queue-CDT120,Queue-CDT120,7,480.0,155.88457268119896,4.996666666666669,2.584887945658373,5
queue-CDT120,Queue-CDT120,8,442.0,137.73162309360913,4.361389817911559,2.3625021316727772,5
queue-CDT120,Queue-CDT120,9,412.0,109.86355173577815,3.8645528980823145,1.9622661581090743,5
queue-CDT120,Queue-CDT120,10,388.0,82.8854631404084,3.4771141901576703,1.381649830032633,5
queue-CDT120,Queue-CDT120,11,364.0,62.28964600958974,3.0885805626598484,1.0576976261603377,5
queue-CDT120,Queue-CDT120,12,358.0,59.74947698515863,2.996703170970907,1.0574408656016936,5
queue-CDT120,Queue-CDT120,13,348.0,47.64451699828638,2.9301069518716605,0.8848774370407947,5
queue-CDT120,Queue-CDT120,14,348.0,47.11687595755898,2.963732365316396,1.0327016775470843,5
queue-CDT120,Queue-CDT120,15,364.0,82.03657720797473,3.0850579527998923,1.3198528138590497,5
queue-CDT120,Queue-CDT120,16,372.0,82.8854631404084,3.218972332015812,1.3084942076407642,5
queue-CDT120,Queue-CDT120,17,378.0,61.40032573203501,3.3872227509517145,1.0035154765145682,5
queue-CDT120,Queue-CDT120,18,382.0,57.619441163551734,3.4816323928525916,0.8979827187975308,5
queue-CDT120,Queue-CDT120,19,380.0,56.568542494923804,3.464633431085047,0.8633521133025253,5
queue-CDT120,Queue-CDT120,20,376.0,56.83308895353129,3.469632156062734,0.8410771566032327,5
queue-CDT120,Queue-CDT120,21,372.0,51.67204273105526,3.449894810659189,0.7718363045798597,5
queue-CDT120,Queue-CDT120,22,376.0,46.69047011971501,3.5117800586510284,0.6953893031437156,5
queue-CDT120,Queue-CDT120,23,412.0,28.635642126552707,4.085360983102921,0.34893188074607784,5
queue-CDT120,Queue-CDT120,24,414.0,32.09361307176243,4.109797514313646,0.3949826664597961,5
queue-CDT120,Queue-CDT120,25,414.0,33.61547262794322,4.100000551759453,0.40842062473635604,5
queue-CDT120,Queue-CDT120,26,404.0,27.928480087537885,4.001027486448789,0.35571646585370087,5
queue-CDT120,Queue-CDT120,27,402.0,27.748873851023212,3.9761039603086323,0.3484300574008854,5
queue-CDT120,Queue-CDT120,28,398.0,22.80350850198276,3.9348438300051236,0.3068091749048127,5
queue-CDT120,Queue-CDT120,29,394.0,24.08318915758459,3.8730977982590957,0.318324848540228,5
queue-CDT120,Queue-CDT120,30,388.0,23.874672772626642,3.8168995940408634,0.3504161271750372,5
queue-CDT120,Queue-CDT120,31,394.0,24.08318915758459,3.8858464116528664,0.3504665458276552,5
queue-CDT120,Queue-CDT120,32,414.0,40.3732584763727,4.153805220085816,0.4266789876321504,5
queue-CDT120,Queue-CDT120,33,424.0,38.47076812334269,4.265551075268823,0.3839735829477361,5
queue-CDT120,Queue-CDT120,34,422.0,40.8656334834051,4.233824884792632,0.4123669060487116,5
queue-CDT120,Queue-CDT120,35,420.0,36.742346141747674,4.221520737327194,0.37759858002123925,5
queue-CDT120,Queue-CDT120,36,416.0,33.61547262794321,4.1864516129032285,0.35433725564610286,5
queue-CDT120,Queue-CDT120,37,416.0,33.61547262794321,4.180184331797241,0.35054739475716273,5
queue-CDT120,Queue-CDT120,38,408.0,32.71085446759224,4.109130184331802,0.34919349731157057,5
queue-CDT120,Queue-CDT120,39,406.0,33.61547262794321,4.0753662799936485,0.3684949364066233,5
queue-CDT120,Queue-CDT120,40,422.0,25.884358211089566,4.258243087557609,0.26849280435143763,5
queue-CDT120,Queue-CDT120,41,430.0,27.386127875258307,4.342485337243407,0.2816675922841454,5
queue-CDT120,Queue-CDT120,42,430.0,29.1547594742265,4.353977272727274,0.28421588160300276,5
queue-CDT120,Queue-CDT120,43,432.0,32.710854467592256,4.366666666666667,0.3143521501525895,5
queue-CDT120,Queue-CDT120,44,428.0,28.635642126552707,4.332601351351353,0.28256290529424,5
queue-CDT120,Queue-CDT120,45,428.0,28.635642126552703,4.337146805896808,0.2810808593866608,5
queue-CDT120,Queue-CDT120,46,426.0,28.809720581775867,4.312499999999998,0.28211672008230915,5
queue-CDT120,Queue-CDT120,47,426.0,28.809720581775867,4.305846774193549,0.2924530504979834,5
queue-CDT120,Queue-CDT120,48,428.0,29.495762407505246,4.346958556149734,0.2880056344276142,5
queue-CDT120,Queue-CDT120,49,436.0,32.86335345030996,4.414170644282128,0.3314122835924818,5
queue-CDT120,Queue-CDT120,50,434.0,33.61547262794321,4.404633075588961,0.32223031670072977,5
queue-CDT120,Queue-CDT120,51,436.0,33.61547262794323,4.4253359021741385,0.323281235701054,5
queue-CDT120,Queue-CDT120,52,432.0,37.01351104664349,4.385883075588963,0.3549960685265166,5
queue-CDT120,Queue-CDT120,53,432.0,37.01351104664349,4.377627727995379,0.3568654167089873,5
queue-CDT120,Queue-CDT120,54,430.0,33.91164991562634,4.354153447263034,0.34510867883436885,5
queue-CDT120,Queue-CDT120,55,430.0,33.91164991562634,4.3679097929097965,0.3334141166759446,5
queue-CDT120,Queue-CDT120,56,438.0,34.92849839314596,4.426121561012456,0.3473860194424081,5
queue-CDT120,Queue-CDT120,57,436.0,38.47076812334269,4.414024786818908,0.36911588912125853,5
queue-CDT120,Queue-CDT120,58,436.0,38.47076812334269,4.416041593541598,0.37073149134945826,5
queue-CDT120,Queue-CDT120,59,436.0,38.47076812334269,4.416041593541598,0.37073149134945826,5
queue-CDT120,Queue-CDT120,60,436.0,38.47076812334269,4.411496138996143,0.373059936592973,5
queue-CDT120,Queue-CDT120,61,434.0,38.470768123342694,4.395822510822514,0.37190734186347163,5
