Autoscaler,Minute,MeanReplicas,StdReplicas,MinReplicas,MaxReplicas,Runs
queue-CDT120,0,11.0,0.0,11.0,11.0,5
queue-CDT120,1,11.0,0.0,11.0,11.0,5
queue-CDT120,2,11.0,0.0,11.0,11.0,5
queue-CDT120,3,11.446428571428573,0.12499999999999904,11.285714285714286,11.571428571428571,5
queue-CDT120,4,12.967857142857145,0.18228285935964014,12.714285714285715,13.142857142857142,5
queue-CDT120,5,14.314285714285713,0.3410667538946669,14.0,14.857142857142858,5
queue-CDT120,6,16.45,0.970745558205398,15.5,17.857142857142858,5
queue-CDT120,7,17.782142857142855,1.7533859372362834,15.0,19.75,5
queue-CDT120,8,19.253571428571426,0.42265258082925805,19.0,20.0,5
queue-CDT120,9,20.332142857142856,0.6180222735567432,19.57142857142857,21.0,5
queue-CDT120,10,21.642857142857146,0.4164965639175208,21.0,22.0,5
queue-CDT120,11,21.9,0.22360679774997932,21.5,22.0,5
queue-CDT120,12,21.957142857142856,0.5660460787473974,21.0,22.5,5
queue-CDT120,13,23.553571428571427,0.3430245127196157,23.142857142857142,24.0,5
queue-CDT120,14,23.960714285714285,0.4546387891188213,23.42857142857143,24.428571428571427,5
queue-CDT120,15,21.485714285714288,0.759967775901164,20.857142857142858,22.57142857142857,5
queue-CDT120,16,21.396428571428572,0.49105519453685903,20.857142857142858,22.142857142857142,5
queue-CDT120,17,24.051190476190477,0.5131421920842729,23.142857142857142,24.375,5
queue-CDT120,18,28.062857142857144,1.5417191570398523,25.857142857142858,29.857142857142858,5
queue-CDT120,19,29.357142857142854,1.145087110134387,28.0,30.857142857142858,5
queue-CDT120,20,29.13690476190476,0.7769396399216814,28.0,29.875,5
queue-CDT120,21,27.759523809523806,0.7668367158351479,26.428571428571427,28.285714285714285,5
queue-CDT120,22,26.060714285714283,0.6808701665321149,25.0,26.714285714285715,5
queue-CDT120,23,24.24285714285714,0.5766502494615646,23.57142857142857,24.857142857142858,5
queue-CDT120,24,21.864285714285714,0.33898273857551325,21.5,22.25,5
queue-CDT120,25,23.267857142857146,0.4804865731097755,22.571428571428573,23.875,5
queue-CDT120,26,26.571428571428573,1.5485345277627718,24.857142857142858,28.714285714285715,5
queue-CDT120,27,29.457142857142856,1.1221335363803133,28.0,31.0,5
queue-CDT120,28,29.314285714285717,1.0370680807360875,27.857142857142858,30.571428571428573,5
queue-CDT120,29,28.542857142857144,0.8713114675415378,27.0,29.0,5
queue-CDT120,30,26.132142857142856,1.0309001416436105,25.0,27.25,5
queue-CDT120,31,24.79642857142857,1.0657288872994333,23.0,25.857142857142858,5
queue-CDT120,32,21.745238095238097,0.8591906754498928,20.75,22.833333333333332,5
queue-CDT120,33,20.90357142857143,0.5278590759678501,20.0,21.375,5
queue-CDT120,34,24.16190476190476,1.2282576195755335,22.857142857142858,25.666666666666668,5
queue-CDT120,35,27.747619047619047,2.1518067080580323,24.833333333333332,30.333333333333336,5
queue-CDT120,36,29.51904761904762,1.8065765471913107,27.166666666666668,32.0,5
queue-CDT120,37,29.31904761904762,1.2801466752697064,28.0,31.333333333333336,5
queue-CDT120,38,28.08095238095238,1.3917730824114882,26.666666666666668,30.166666666666668,5
queue-CDT120,39,26.18857142857143,0.9826245571977963,25.0,27.571428571428573,5
queue-CDT120,40,24.575,1.08755717654057,23.714285714285715,26.285714285714285,5
queue-CDT120,41,21.74285714285714,0.9113793090135186,20.714285714285715,23.142857142857142,5
queue-CDT120,42,22.84047619047619,0.47407267160128885,22.25,23.571428571428573,5
queue-CDT120,43,25.93809523809524,0.7917516961139508,25.0,27.142857142857142,5
queue-CDT120,44,29.23333333333333,1.152292401162907,27.666666666666668,30.166666666666664,5
queue-CDT120,45,29.509523809523806,1.041050838370809,28.0,30.714285714285715,5
queue-CDT120,46,28.676190476190477,0.5688433584387784,27.666666666666668,29.0,5
queue-CDT120,47,26.66071428571429,0.6743025707470639,25.857142857142858,27.666666666666668,5
queue-CDT120,48,24.878571428571426,0.7920201502281036,24.25,26.0,5
queue-CDT120,49,21.905952380952378,1.1461571898543732,20.25,23.285714285714285,5
queue-CDT120,50,21.604761904761904,0.5628321644606636,21.0,22.166666666666668,5
queue-CDT120,51,22.9,1.585649934344182,21.714285714285715,25.428571428571427,5
queue-CDT120,52,25.32857142857143,1.3480690818474794,24.166666666666668,27.5,5
queue-CDT120,53,27.53809523809524,0.9487430519823621,26.833333333333332,29.0,5
queue-CDT120,54,27.002380952380953,1.1730389627643505,25.42857142857143,28.5,5
queue-CDT120,55,24.766666666666666,1.1361908753442,24.0,26.714285714285715,5
queue-CDT120,56,22.02857142857143,0.3557114170853914,21.714285714285715,22.57142857142857,5
queue-CDT120,57,19.928571428571427,0.6790411907796983,19.25,20.857142857142858,5
queue-CDT120,58,20.39047619047619,0.5220750504253621,19.714285714285715,21.0,5
queue-CDT120,59,20.094047619047622,0.7105607236191106,19.0,20.714285714285715,5
queue-CDT120,60,21.75,0.9986527205369388,20.142857142857142,22.857142857142858,5
queue-CDT120,61,24.542857142857144,0.8293100156399991,24.0,26.0,5
queue-CDT120,62,25.004761904761903,0.5876661245323765,24.5,26.0,5
queue-CDT120,63,24.2,0.44721359549995765,24.0,25.0,5
queue-CDT120,64,22.832142857142856,0.4452842476716298,22.428571428571427,23.57142857142857,5
queue-CDT120,65,19.84642857142857,0.4232557243124612,19.285714285714285,20.375,5
queue-CDT120,66,20.016666666666666,0.7457052962725212,19.0,20.833333333333332,5
queue-CDT120,67,19.29404761904762,0.7293986511437013,18.666666666666668,20.5,5
queue-CDT120,68,21.378571428571426,0.6301882164945768,20.75,22.333333333333332,5
queue-CDT120,69,24.135714285714286,0.19626616662905674,23.857142857142858,24.285714285714285,5
queue-CDT120,70,26.452380952380953,0.7067058133169428,25.42857142857143,27.285714285714285,5
queue-CDT120,71,27.692857142857143,1.1833237519972364,26.0,28.75,5
queue-CDT300,0,11.0,0.0,11.0,11.0,5
queue-CDT300,1,11.0,0.0,11.0,11.0,5
queue-CDT300,2,11.0,0.0,11.0,11.0,5
queue-CDT300,3,11.485714285714286,0.17830337023380896,11.285714285714286,11.714285714285714,5
