Method,Minute,MeanLatency_ms,StdLatency_ms,Runs
queue,0,202.67410714285714,18.825455358411155,2
queue,1,185.9,30.370236251962208,2
queue,2,186.39285714285717,15.829090373133152,2
queue,3,178.14375,20.97455489694595,2
queue,4,181.8017857142857,11.210167863168168,2
queue,5,193.1625,12.92237642618414,2
queue,6,195.65357142857144,5.520483655977847,2
queue,7,194.05,11.561195872400058,2
queue,8,574.3020833333333,56.30632373023387,2
queue,9,483.8375,82.28955166058446,2
queue,10,291.6982142857143,44.86845064764782,2
queue,11,215.62857142857143,1.8990867837581646,2
queue,12,305.85,143.29518920745386,2
queue,13,235.62857142857143,16.56650173065626,2
queue,14,210.43125,1.016465997955662,2
queue,15,248.1017857142857,25.917988911848365,2
queue,16,214.6017857142857,14.887123125338217,2
queue,17,254.57678571428573,41.08542936829978,2
queue,18,468.98571428571427,3.6971583130610908,2
queue,19,437.98571428571427,94.87352698434363,2
queue,20,293.8928571428571,78.25651762645971,2
queue,21,207.48392857142858,1.638972503535957,2
queue,22,204.0446428571429,4.058287847738506,2
queue,23,220.25,18.950461735799482,2
queue,24,257.5446428571429,45.72202954779445,2
queue,25,218.0964285714286,5.156828739939047,2
queue,26,237.56785714285715,38.58277643917171,2
queue,27,353.45625,138.21285921767554,2
queue,28,420.475,279.9082193326948,2
queue,29,368.56607142857143,42.15619106552513,2
queue,30,317.5625,142.7825367910936,2
queue,31,380.9,246.47722087073944,2
queue,32,242.48125,30.149265382841442,2
queue,33,194.6375,34.87804198202648,2
queue,34,207.54821428571427,26.054359505362896,2
queue,35,261.1794642857143,63.76966744690038,2
queue,36,284.98571428571427,99.74246224908526,2
queue,37,228.16964285714286,10.104050826883485,2
queue,38,235.68035714285713,27.145324253479288,2
queue,39,229.8357142857143,8.737819510376635,2
queue,40,221.02142857142857,13.364318164425733,2
queue,41,230.97857142857143,2.1920310216783134,2
queue,42,222.77142857142857,39.416152288427256,2
queue,43,221.23571428571427,103.75276785095754,2
queue,44,203.06875,7.292038680986272,2
queue,45,206.95714285714286,19.394928855402448,2
queue,46,234.28125,8.22895516605845,2
queue,47,231.02142857142854,22.31426970915838,2
queue,48,238.6732142857143,10.462654980199527,2
queue,49,246.76785714285717,18.64236520971103,2
queue,50,235.71785714285716,21.309167927328865,2
queue,51,253.4714285714286,92.9542371496944,2
queue,52,235.20714285714286,41.18391924139364,2
queue,53,239.8904761904762,25.422172371230616,2
queue,54,309.80982142857147,41.0866920589805,2
queue,55,278.95714285714286,56.75036995294321,2
queue,56,289.5017857142857,65.23312594582038,2
queue,57,303.5833333333333,96.4257947278055,2
queue,58,292.79999999999995,68.7307791313324,2
queue,59,425.6553571428571,64.02094289235774,2
queue,60,255.17857142857144,11.626855787795972,2
queue,61,535.35,420.5871134497584,2
queue,62,638.9232142857143,494.76008941486583,2
queue,63,207.42857142857144,15.23310037184737,2
queue,64,213.27083333333334,13.653053433410259,2
queue,65,208.375,49.32069798776169,2
queue,66,459.64285714285717,326.03683527967155,2
queue,67,451.70714285714286,242.83057018490592,2
queue,68,246.44285714285718,60.85158928382518,2
queue,69,257.7875,81.47637886221993,2
queue,70,309.59285714285716,77.50900474349116,2
queue,71,288.69821428571424,70.38995468575936,2
queue,72,192.7,0.0,1
hpa80,0,211.7722222222222,48.95535948414865,2
hpa80,1,154.2,9.585225256084271,2
hpa80,2,167.21249999999998,23.17542475338909,2
hpa80,3,177.94444444444446,18.87189431566762,2
hpa80,4,167.88888888888889,0.31426968052736337,2
hpa80,5,188.97555555555556,9.142105006540763,2
hpa80,6,195.42569444444445,1.6450053590103788,2
hpa80,7,163.82916666666668,0.8544206939337315,2
hpa80,8,920.0388888888889,163.09810745168363,2
hpa80,9,348.5486111111111,74.70779561786206,2
hpa80,10,293.72222222222223,15.823478414552268,2
hpa80,11,224.6625,0.3712310601229616,2
hpa80,12,225.47986111111112,5.71676190734289,2
hpa80,13,208.82777777777778,14.385694626139644,2
hpa80,14,364.1354166666667,216.80188539005044,2
hpa80,15,221.25208333333333,2.283365647581573,2
hpa80,16,260.0111111111111,52.82873329664828,2
hpa80,17,230.0,33.23401871576773,2
hpa80,18,248.59444444444443,38.63160047882504,2
hpa80,19,227.04861111111111,10.361078529886212,2
hpa80,20,202.5875,2.1036426740299548,2
hpa80,21,230.12222222222223,32.464057998475745,2
hpa80,22,221.04375,3.3145630368119416,2
hpa80,23,246.78750000000002,41.896076785302974,2
hpa80,24,203.8722222222222,37.4373756928211,2
hpa80,25,251.9263888888889,84.21445345381451,2
hpa80,26,327.7125,139.17629220704222,2
hpa80,27,318.84444444444443,63.168205785998275,2
hpa80,28,375.24930555555557,6.276554775782243,2
hpa80,29,256.6166666666667,40.40722417380457,2
hpa80,30,345.83125,137.4703970974297,2
hpa80,31,237.76111111111112,70.21570337182415,2
hpa80,32,429.53194444444443,88.75172196642826,2
hpa80,33,367.14375,107.43603656653106,2
hpa80,34,370.4770833333333,150.20421171529742,2
hpa80,35,325.9868055555555,35.3897123056351,2
hpa80,36,338.79305555555555,295.68652148067133,2
hpa80,37,242.18611111111113,70.05464016055392,2
hpa80,38,389.6645833333333,95.17362646945433,2
hpa80,39,169.38541666666669,9.967259336475365,2
hpa80,40,368.06388888888887,54.85184436504317,2
hpa80,41,495.3875,5.992729970556006,2
hpa80,42,478.84375,182.31864469418645,2
hpa80,43,298.0736111111111,70.4965818987955,2
hpa80,44,305.04236111111106,11.1438064529497,2
hpa80,45,345.9,109.38941904955891,2
hpa80,46,354.75,235.710117137529,2
hpa80,47,401.2034722222222,141.08057005248764,2
hpa80,48,367.98125,164.16367808722185,2
hpa80,49,398.375,79.86771093502057,2
hpa80,50,423.0875,18.154966606964596,2
hpa80,51,457.80625,75.72229743031441,2
hpa80,52,478.775,314.69787296707295,2
hpa80,53,520.5527777777777,139.02112155228184,2
hpa80,54,306.4625,104.29825022501575,2
hpa80,55,475.20625,306.99924788690447,2
hpa80,56,377.75694444444446,42.38123060461706,2
hpa80,57,319.497619047619,114.5950718291513,2
hpa80,58,523.2222222222223,109.46012972767754,2
hpa80,59,452.45625000000007,277.6719941371924,2
hpa80,60,504.12222222222226,16.656293067949917,2
hpa80,61,425.2652777777778,12.714172762834803,2
hpa80,62,276.32222222222225,160.82750900987364,2
hpa80,63,179.94861111111112,82.83559523050073,2
hpa80,64,201.95625,80.56597888144226,2
hpa80,65,334.7541666666667,64.74151837413834,2
hpa80,66,209.32361111111112,86.97216990044208,2
hpa80,67,189.32847222222222,12.467667482171148,2
hpa80,68,241.35694444444445,51.00793333509293,2
hpa80,69,224.425,8.167083322704622,2
hpa80,70,178.33125,6.584931899799724,2
hpa80,71,181.6388888888889,0.9349522995688699,2
das,0,199.6875,16.28113363682024,2
das,1,173.7,9.93485027567099,2
das,2,180.49374999999998,10.756861908800348,2
das,3,170.67857142857144,22.132442251138936,2
das,4,148.3625,2.421840725563923,2
das,5,168.23214285714286,12.702668247744056,2
das,6,165.44285714285715,14.061323420166783,2
das,7,179.5861111111111,4.717973578916905,2
das,8,859.1017857142856,286.7646297288431,2
das,9,388.3571428571429,147.138819639475,2
das,10,361.9,107.90449480906715,2
das,11,261.60714285714283,42.779960261786115,2
das,12,248.875,56.144278426211855,2
das,13,260.68809523809523,78.4114076832911,2
das,14,213.00714285714287,10.737921548589979,2
das,15,228.75,48.1539717988039,2
das,16,273.6375,82.21884098246579,2
das,17,224.68928571428572,4.752767722118164,2
das,18,230.81785714285715,5.045711960038303,2
das,19,221.26428571428573,20.879853095894212,2
das,20,227.16875000000002,8.847673599596668,2
das,21,319.1452380952381,88.08866906010131,2
das,22,201.35000000000002,14.424978336205562,2
das,23,304.975,136.71909614241898,2
das,24,219.8642857142857,5.788174080284156,2
das,25,226.59285714285713,14.839140879471962,2
das,26,280.76250000000005,97.88125618574783,2
das,27,315.11547619047616,190.4928832640816,2
das,28,437.6625,240.54004929013382,2
das,29,315.25714285714287,114.32906499241918,2
das,30,307.33285714285716,39.81415239098085,2
das,31,444.23095238095243,154.00448976728157,2
das,32,258.375,62.01326471006024,2
das,33,488.54285714285714,83.13555441664694,2
das,34,661.45,41.992041277035334,2
das,35,357.46964285714284,46.74733438051492,2
das,36,225.35000000000002,51.265241636024705,2
das,37,475.62767857142853,39.71793536111224,2
das,38,618.7625,124.29169446306543,2
das,39,348.1410714285714,23.31179534690365,2
das,40,520.4714285714285,433.33523856200736,2
das,41,305.3982142857143,20.119713306118655,2
das,42,560.5071428571429,163.1901435724096,2
das,43,430.8285714285714,20.4050813999546,2
das,44,440.90000000000003,34.78965363437809,2
das,45,439.3785714285714,284.3680428168928,2
das,46,294.06875,45.652581560356474,2
das,47,347.04464285714283,0.04293148314348733,2
das,48,608.9229166666667,85.99891598355894,2
das,49,545.1714285714286,329.22891732045656,2
das,50,859.6226190476191,18.65920108545357,2
das,51,512.1011904761905,79.07642477512134,2
das,52,437.0,154.65435457094344,2
das,53,475.42499999999995,125.97107306838345,2
das,54,513.1171428571429,400.7921641867133,2
das,55,631.9011904761905,225.73037119321137,2
das,56,796.9035714285715,89.01969298866366,2
das,57,618.8571428571429,85.96398154139308,2
das,58,385.9979166666667,36.15378046641716,2
das,59,556.8357142857143,193.37350160362968,2
das,60,502.0214285714286,447.083414693363,2
das,61,360.1645833333333,118.16048941452704,2
das,62,258.85625000000005,78.72750125035728,2
das,63,300.82142857142856,215.7584819909067,2
das,64,363.4142857142857,206.7984289207286,2
das,65,233.76250000000002,34.24164587895857,2
das,66,280.5214285714286,59.9323504682827,2
das,67,244.95,65.93770734564556,2
das,68,180.64642857142857,33.3804908347278,2
das,69,269.4160714285714,91.84054396932562,2
das,70,174.2375,11.84403858487467,2
das,71,177.13571428571427,2.5354828868260513,2
