Autoscaler,DisplayName,MeanScaleUpEvents,StdScaleUpEvents,MeanScaleDownEvents,StdScaleDownEvents,MeanDecisionEvents,StdDecisionEvents,MeanTotalScalingMagnitude,StdTotalScalingMagnitude,MinTotalScalingMagnitude,MaxTotalScalingMagnitude,Runs
queue,QUEUE,27.0,0.0,24.5,2.1213203435596424,51.5,2.1213203435596424,53.03571428571429,8.131727983645296,47.28571428571429,58.78571428571429,2
hpa80,HPA80,22.5,0.7071067811865476,9.0,1.4142135623730951,31.5,0.7071067811865476,31.11111111111111,1.5713484026367717,30.0,32.22222222222222,2
das,DAS,24.0,1.4142135623730951,11.5,0.7071067811865476,35.5,0.7071067811865476,43.92857142857143,4.141625432664067,41.0,46.85714285714286,2
