Timestamp,Service,HTTP_RPM,HTTP_LAT,gRPC_RPM,gRPC_LAT,CPU_ms,MEM_MiB,Pods
2026-03-30 16:34:22,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,4,101,1
2026-03-30 16:34:23,details-v1,0.0,0.0,0.0,0.0,0,12,1
2026-03-30 16:34:24,productpage-v1,0.0,0.0,0.0,0.0,2,305,1
2026-03-30 16:34:24,ratings-v1,0.0,0.0,0.0,0.0,0,9,1
2026-03-30 16:34:25,reviews-v1,0.0,0.0,0.0,0.0,12,329,5
2026-03-30 16:34:26,reviews-v2,0.0,0.0,0.0,0.0,35,390,5
2026-03-30 16:34:26,reviews-v3,0.0,0.0,0.0,0.0,222,376,5
2026-03-30 16:34:27,waypoint,0.0,0.0,0.0,0.0,4,143,1
2026-03-30 16:34:33,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,4,101,1
2026-03-30 16:34:34,details-v1,0.0,0.0,0.0,0.0,0,12,1
2026-03-30 16:34:35,productpage-v1,0.0,0.0,0.0,0.0,2,305,1
2026-03-30 16:34:36,ratings-v1,0.0,0.0,0.0,0.0,1,9,1
2026-03-30 16:34:37,reviews-v1,0.0,0.0,0.0,0.0,223,381,5
2026-03-30 16:34:38,reviews-v2,0.0,0.0,0.0,0.0,36,391,5
2026-03-30 16:34:38,reviews-v3,0.0,0.0,0.0,0.0,200,407,5
2026-03-30 16:34:39,waypoint,0.0,0.0,0.0,0.0,7,143,1
2026-03-30 16:34:45,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,4,101,1
2026-03-30 16:34:45,details-v1,0.0,0.0,0.0,0.0,0,12,1
2026-03-30 16:34:47,productpage-v1,0.0,0.0,0.0,0.0,2,305,1
2026-03-30 16:34:48,ratings-v1,0.0,0.0,0.0,0.0,0,9,1
2026-03-30 16:34:48,reviews-v1,0.0,0.0,0.0,0.0,208,401,5
2026-03-30 16:34:49,reviews-v2,0.0,0.0,0.0,0.0,34,388,5
2026-03-30 16:34:49,reviews-v3,0.0,0.0,0.0,0.0,198,407,5
2026-03-30 16:34:50,waypoint,0.0,0.0,0.0,0.0,8,144,1
2026-03-30 16:34:56,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,4,101,1
2026-03-30 16:34:57,details-v1,0.0,0.0,0.0,0.0,0,12,1
2026-03-30 16:34:58,productpage-v1,0.0,0.0,0.0,0.0,2,305,1
2026-03-30 16:34:58,ratings-v1,0.0,0.0,0.0,0.0,0,9,1
2026-03-30 16:34:59,reviews-v1,0.0,0.0,0.0,0.0,208,401,5
2026-03-30 16:34:59,reviews-v2,0.0,0.0,0.0,0.0,34,388,5
2026-03-30 16:35:00,reviews-v3,0.0,0.0,0.0,0.0,22,407,5
2026-03-30 16:35:00,waypoint,0.0,0.0,0.0,0.0,4,144,1
2026-03-30 16:35:06,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,4,101,1
2026-03-30 16:35:07,details-v1,0.0,0.0,0.0,0.0,0,12,1
2026-03-30 16:35:08,productpage-v1,0.0,0.0,0.0,0.0,2,305,1
2026-03-30 16:35:08,ratings-v1,0.0,0.0,0.0,0.0,0,9,1
