Timestamp,Service,HTTP_RPM,HTTP_LAT,gRPC_RPM,gRPC_LAT,CPU_ms,MEM_MiB,Pods
2026-03-30 12:55:17,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,3,91,1
2026-03-30 12:55:18,details-v1,0.0,0.0,0.0,0.0,0,34,1
2026-03-30 12:55:18,productpage-v1,0.0,0.0,0.0,0.0,2,319,1
2026-03-30 12:55:19,ratings-v1,0.0,0.0,0.0,0.0,0,22,1
2026-03-30 12:55:19,reviews-v1,0.0,0.0,0.0,0.0,2,96,1
2026-03-30 12:55:20,reviews-v2,0.0,0.0,0.0,0.0,2,103,1
2026-03-30 12:55:21,reviews-v3,0.0,0.0,0.0,0.0,2,106,1
2026-03-30 12:55:22,waypoint,0.0,0.0,0.0,0.0,3,114,1
2026-03-30 12:55:28,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,3,91,1
2026-03-30 12:55:28,details-v1,0.0,0.0,0.0,0.0,0,34,1
2026-03-30 12:55:29,productpage-v1,0.0,0.0,0.0,0.0,2,319,1
2026-03-30 12:55:30,ratings-v1,0.0,0.0,0.0,0.0,0,22,1
2026-03-30 12:55:31,reviews-v1,0.0,0.0,0.0,0.0,2,96,1
2026-03-30 12:55:32,reviews-v2,41.7,18.7,0.0,0.0,2,103,1
2026-03-30 12:55:33,reviews-v3,42.3,32.8,0.0,0.0,2,106,1
2026-03-30 12:55:33,waypoint,0.0,0.0,0.0,0.0,4,114,1
2026-03-30 12:55:39,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,3,86,1
2026-03-30 12:55:40,details-v1,490.9,11.0,0.0,0.0,17,34,1
2026-03-30 12:55:41,productpage-v1,228.6,100.2,0.0,0.0,16,320,1
2026-03-30 12:55:42,ratings-v1,306.9,4.1,0.0,0.0,0,22,1
2026-03-30 12:55:43,reviews-v1,108.0,17.2,0.0,0.0,2,96,1
2026-03-30 12:55:44,reviews-v2,110.9,16.7,0.0,0.0,2,103,1
2026-03-30 12:55:44,reviews-v3,117.1,25.0,0.0,0.0,2,106,1
2026-03-30 12:55:45,waypoint,0.0,0.0,0.0,0.0,84,114,1
2026-03-30 12:55:51,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,55,86,1
2026-03-30 12:55:52,details-v1,1314.9,6.7,0.0,0.0,17,34,1
2026-03-30 12:55:53,productpage-v1,1045.7,32.7,0.0,0.0,426,320,1
2026-03-30 12:55:53,ratings-v1,757.7,3.1,0.0,0.0,7,22,1
2026-03-30 12:55:54,reviews-v1,270.3,7.3,0.0,0.0,7,96,1
2026-03-30 12:55:55,reviews-v2,249.1,12.0,0.0,0.0,22,104,1
2026-03-30 12:55:56,reviews-v3,269.1,14.8,0.0,0.0,15,106,1
2026-03-30 12:55:57,waypoint,0.0,0.0,0.0,0.0,84,114,1
2026-03-30 12:56:03,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,64,86,1
2026-03-30 12:56:04,details-v1,1729.7,5.9,0.0,0.0,58,34,1
2026-03-30 12:56:05,productpage-v1,1883.4,23.9,0.0,0.0,388,320,1
2026-03-30 12:56:06,ratings-v1,982.3,2.7,0.0,0.0,11,22,1
