Scheme,Name,DecisionCount
Custom-DAS,adservice,2.0
Custom-DAS,cartservice,9.0
Custom-DAS,checkoutservice,0.0
Custom-DAS,currencyservice,11.0
Custom-DAS,emailservice,0.0
Custom-DAS,frontend,12.0
Custom-DAS,paymentservice,0.0
Custom-DAS,productcatalogservice,12.5
Custom-DAS,recommendationservice,11.0
Custom-DAS,redis-cart,0.0
Custom-DAS,shippingservice,0.0
DAS,adservice,0.0
DAS,cartservice,28.5
DAS,checkoutservice,0.0
DAS,currencyservice,18.5
DAS,emailservice,0.0
DAS,frontend,14.5
DAS,paymentservice,0.0
DAS,productcatalogservice,16.5
DAS,recommendationservice,14.5
DAS,redis-cart,0.0
DAS,shippingservice,0.0
HPA-80,adservice,0.0
HPA-80,cartservice,15.0
HPA-80,checkoutservice,0.0
HPA-80,currencyservice,21.0
HPA-80,emailservice,0.0
HPA-80,frontend,10.5
HPA-80,paymentservice,0.0
HPA-80,productcatalogservice,15.5
HPA-80,recommendationservice,12.5
HPA-80,redis-cart,0.0
HPA-80,shippingservice,0.0
