,count
1,10
2,10
3,24
4,48
5,72
6,96
7,120
8,144
9,168
10,192
11,216
12,240
13,272
14,218
15,212
16,253
17,344
18,422
19,424
20,371
21,300
22,264
23,195
24,232
25,272
26,388
27,414
28,394
29,317
30,284
31,221
32,190
33,245
34,326
35,418
36,414
37,370
38,288
39,263
40,195
41,225
42,264
43,374
44,410
45,394
46,315
47,266
48,220
49,187
50,232
51,282
52,367
53,348
54,315
55,225
56,192
57,162
58,164
59,210
60,260
61,307
62,296
63,261
64,206
65,188
66,157
67,203
68,258
69,322
70,366
71,353
72,275
