,count
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,40
10,70
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,110
19,140
20,170
21,200
22,200
23,200
24,200
25,200
26,200
27,200
28,210
29,240
30,270
31,300
32,300
33,300
34,300
35,300
36,300
37,300
38,310
39,340
40,370
41,400
42,400
43,400
44,400
45,400
46,400
47,400
48,410
49,440
50,470
51,500
52,500
53,500
54,500
55,500
56,500
57,500
58,470
59,440
60,410
61,380
62,350
63,320
64,290
65,260
66,230
67,200
68,170
69,140
70,110
71,80
72,50
