Method,DisplayName,Run,File,SLOViolationRate_percent
queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats.csv,3.741935483870973
queue-CDT300,QUEUE-CDT300,1,queue-CDT300-1_stats.csv,3.2499999999999973
hpa60-CDT120,HPA60-CDT120,1,hpa60-CDT120-1_stats.csv,2.782608695652178
