Timestamp,Service,HTTP_RPM,HTTP_LAT,gRPC_RPM,gRPC_LAT,CPU_ms,MEM_MiB,Pods,,,,,,,,,,,,,,,
03/03/2026 11:57,waypoint,0,0,0,0,15,37,1,,,,,,,,,,,,,,,
03/03/2026 11:57,bookinfo-gateway-istio,0,0,0,0,8,41,1,,,,,,,,,,,,,,,
03/03/2026 11:57,details-v1,236,2.6,0,0,5,15,1,,,,,,,,,,,,,,,
03/03/2026 11:57,productpage-v1,280,18.9,0,0,36,273,1,,,,,,,,,,,,,,,
03/03/2026 11:57,ratings-v1,256,1.2,0,0,2,18,1,,,,,,,,,,,,,,,
03/03/2026 11:57,reviews-v1,98.3,4.6,0,0,11,90,1,,,,,,,,,,,,,,,
03/03/2026 11:57,reviews-v2,91.4,11.2,0,0,15,92,1,,,,,,,,,,,,,,,
03/03/2026 11:57,reviews-v3,83.4,14.9,0,0,20,100,1,,,,,,,,,,,,,,,
03/03/2026 11:57,waypoint,0,0,0,0,15,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,bookinfo-gateway-istio,0,0,0,0,11,41,1,,,,,,,,,,,,,,,
03/03/2026 11:58,details-v1,356,2.8,0,0,5,15,1,,,,,,,,,,,,,,,
03/03/2026 11:58,productpage-v1,280,18.9,0,0,53,273,1,,,,,,,,,,,,,,,
03/03/2026 11:58,ratings-v1,381.7,1.2,0,0,3,18,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v1,145.1,4.4,0,0,18,90,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v2,135.4,10.9,0,0,19,92,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v3,122.3,14.8,0,0,23,103,1,,,,,,,,,,,,,,,
03/03/2026 11:58,waypoint,0,0,0,0,19,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,bookinfo-gateway-istio,0,0,0,0,11,41,1,,,,,,,,,,,,,,,
03/03/2026 11:58,details-v1,356,2.8,0,0,5,15,1,,,,,,,,,,,,,,,
03/03/2026 11:58,productpage-v1,392,20.5,0,0,53,273,1,,,,,,,,,,,,,,,
03/03/2026 11:58,ratings-v1,381.7,1.2,0,0,3,18,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v1,145.1,4.4,0,0,18,90,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v2,135.4,10.9,0,0,33,92,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v3,122.3,14.8,0,0,27,100,1,,,,,,,,,,,,,,,
03/03/2026 11:58,waypoint,0,0,0,0,29,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,bookinfo-gateway-istio,0,0,0,0,13,42,1,,,,,,,,,,,,,,,
03/03/2026 11:58,details-v1,456,3,0,0,9,15,1,,,,,,,,,,,,,,,
03/03/2026 11:58,productpage-v1,502.3,22.3,0,0,74,273,1,,,,,,,,,,,,,,,
03/03/2026 11:58,ratings-v1,493.7,1.3,0,0,4,18,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v1,202.9,4.2,0,0,20,90,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v2,177.1,11.7,0,0,33,92,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v3,156,17.1,0,0,27,100,1,,,,,,,,,,,,,,,
03/03/2026 11:58,waypoint,0,0,0,0,29,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,bookinfo-gateway-istio,0,0,0,0,14,42,1,,,,,,,,,,,,,,,
03/03/2026 11:58,details-v1,519.4,2.9,0,0,9,15,1,,,,,,,,,,,,,,,
03/03/2026 11:58,productpage-v1,502.3,22.3,0,0,73,273,1,,,,,,,,,,,,,,,
03/03/2026 11:58,ratings-v1,609.7,1.2,0,0,4,18,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v1,238.9,4,0,0,22,90,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v2,236,10.7,0,0,28,92,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v3,185.1,15.8,0,0,26,100,1,,,,,,,,,,,,,,,
03/03/2026 11:58,waypoint,0,0,0,0,29,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,bookinfo-gateway-istio,0,0,0,0,14,42,1,,,,,,,,,,,,,,,
03/03/2026 11:58,details-v1,573.7,2.8,0,0,9,15,1,,,,,,,,,,,,,,,
03/03/2026 11:58,productpage-v1,581.7,20.1,0,0,73,273,1,,,,,,,,,,,,,,,
03/03/2026 11:58,ratings-v1,609.7,1.2,0,0,4,18,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v1,238.9,4,0,0,22,90,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v2,236,10.7,0,0,28,92,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v3,185.1,15.8,0,0,26,100,1,,,,,,,,,,,,,,,
03/03/2026 11:58,waypoint,0,0,0,0,29,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,bookinfo-gateway-istio,0,0,0,0,13,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,details-v1,636.6,2.8,0,0,9,15,1,,,,,,,,,,,,,,,
03/03/2026 11:58,productpage-v1,581.7,20.1,0,0,71,273,1,,,,,,,,,,,,,,,
03/03/2026 11:58,ratings-v1,663.4,1.2,0,0,4,18,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v1,265.7,3.7,0,0,20,90,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v2,246.3,9.7,0,0,44,94,1,,,,,,,,,,,,,,,
03/03/2026 11:58,reviews-v3,213.1,15.4,0,0,27,101,1,,,,,,,,,,,,,,,
03/03/2026 11:58,waypoint,0,0,0,0,29,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,bookinfo-gateway-istio,0,0,0,0,13,37,1,,,,,,,,,,,,,,,
03/03/2026 11:58,details-v1,636.6,2.8,0,0,12,15,1,,,,,,,,,,,,,,,
03/03/2026 11:58,productpage-v1,666.9,19.7,0,0,73,273,1,,,,,,,,,,,,,,,
03/03/2026 11:59,ratings-v1,663.4,1.2,0,0,5,18,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v1,314.9,3.6,0,0,27,92,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v2,299.4,9.9,0,0,31,92,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v3,269.1,15.1,0,0,44,100,1,,,,,,,,,,,,,,,
03/03/2026 11:59,waypoint,0,0,0,0,39,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,bookinfo-gateway-istio,0,0,0,0,17,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,details-v1,779.4,3,0,0,12,15,1,,,,,,,,,,,,,,,
