Scheme,Name,DecisionCount
Custom-DAS,details-v1,2.0
Custom-DAS,productpage-v1,3.0
Custom-DAS,ratings-v1,0.0
Custom-DAS,reviews-v1,0.0
Custom-DAS,reviews-v2,0.0
Custom-DAS,reviews-v3,0.0
DAS,details-v1,28.0
DAS,productpage-v1,37.0
DAS,ratings-v1,0.0
DAS,reviews-v1,0.0
DAS,reviews-v2,0.0
DAS,reviews-v3,12.0
HPA-80,details-v1,10.0
HPA-80,productpage-v1,33.0
HPA-80,ratings-v1,0.0
HPA-80,reviews-v1,0.0
HPA-80,reviews-v2,0.0
HPA-80,reviews-v3,0.0
