app,experiment_name,workload_name,workload_csv,autoscaler_name,deployment_scope,setup_ok,ready_for_load,monitor_log_file,locust_stats_csv,locust_failures_csv,locust_exceptions_csv,locust_stats_history_csv,cleanup_ok,status,error_message
bookinfo,bookinfo_stepped-500-up_das_subset,stepped-500-up,load/book-info/workloads/stepped-500-up.csv,das,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_stepped-500-up_das_default_5s_20260801_021308.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_das_subset_20260801_031308_stats.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_das_subset_20260801_031308_failures.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_das_subset_20260801_031308_exceptions.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_das_subset_20260801_031308_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_stepped-500-up_cpu50_subset,stepped-500-up,load/book-info/workloads/stepped-500-up.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_stepped-500-up_default_cpu_default_5s_20260801_032531.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu50_subset_20260801_042531_stats.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu50_subset_20260801_042531_failures.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu50_subset_20260801_042531_exceptions.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu50_subset_20260801_042531_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_stepped-500-up_cpu80_subset,stepped-500-up,load/book-info/workloads/stepped-500-up.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_stepped-500-up_default_cpu_default_5s_20260801_043754.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu80_subset_20260801_053754_stats.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu80_subset_20260801_053754_failures.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu80_subset_20260801_053754_exceptions.csv,tmp/locust/bookinfo/bookinfo_stepped-500-up_cpu80_subset_20260801_053754_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_wiki_load_cpu80_subset,wiki_load,load/book-info/workloads/wiki_load.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_wiki_load_default_cpu_default_5s_20260820_212927.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_222927_stats.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_222927_failures.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_222927_exceptions.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_222927_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_wiki_load_cpu80_subset,wiki_load,load/book-info/workloads/wiki_load.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_wiki_load_default_cpu_default_5s_20260820_213807.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_223807_stats.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_223807_failures.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_223807_exceptions.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_223807_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_stepped-400-up_cpu80_subset,stepped-400-up,load/book-info/workloads/stepped-400-up.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_stepped-400-up_default_cpu_default_5s_20260820_214129.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_224129_stats.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_224129_failures.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_224129_exceptions.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_224129_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_wiki_load_cpu80_subset,wiki_load,load/book-info/workloads/wiki_load.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_wiki_load_default_cpu_default_5s_20260820_220034.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230034_stats.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230034_failures.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230034_exceptions.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230034_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_stepped-400-up_cpu80_subset,stepped-400-up,load/book-info/workloads/stepped-400-up.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_stepped-400-up_default_cpu_default_5s_20260820_220357.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230357_stats.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230357_failures.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230357_exceptions.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230357_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_wiki_load_cpu80_subset,wiki_load,load/book-info/workloads/wiki_load.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_wiki_load_default_cpu_default_5s_20260820_220556.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230556_stats.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230556_failures.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230556_exceptions.csv,tmp/locust/bookinfo/bookinfo_wiki_load_cpu80_subset_20260820_230556_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo,bookinfo_stepped-400-up_cpu80_subset,stepped-400-up,load/book-info/workloads/stepped-400-up.csv,default_cpu,"productpage-v1,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3",True,True,/app/logs/bookinfo_mesh_metrics_bookinfo_stepped-400-up_default_cpu_default_5s_20260820_220919.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230919_stats.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230919_failures.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230919_exceptions.csv,tmp/locust/bookinfo/bookinfo_stepped-400-up_cpu80_subset_20260820_230919_stats_history.csv,True,completed_with_failures,Locust exit code 1
