app,experiment_name,workload_name,workload_csv,autoscaler_name,deployment_scope,setup_ok,ready_for_load,monitor_log_file,locust_stats_csv,locust_failures_csv,locust_exceptions_csv,locust_stats_history_csv,cleanup_ok,status,error_message
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_pbscaler_default_5s_20260805_233550.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_003550_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_003550_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_003550_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_003550_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_pbscaler_default_5s_20260806_000000.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_010000_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_010000_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_010000_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_010000_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_das_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,das,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_das_default_5s_20260806_001239.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_011239_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_011239_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_011239_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_011239_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_cpu50_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_default_cpu_default_5s_20260806_002503.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_012503_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_012503_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_012503_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_012503_stats_history.csv,True,success,
onlineboutique,onlineboutique_wiki_load_cpu80_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_default_cpu_default_5s_20260806_003726.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_013726_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_013726_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_013726_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_013726_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_stepped-500-up_pbscaler_subset,stepped-500-up,load/online-boutique/workloads/stepped-500-up.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_stepped-500-up_pbscaler_default_5s_20260806_004953.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_pbscaler_subset_20260806_014953_stats.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_pbscaler_subset_20260806_014953_failures.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_pbscaler_subset_20260806_014953_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_pbscaler_subset_20260806_014953_stats_history.csv,True,success,
onlineboutique,onlineboutique_stepped-500-up_das_subset,stepped-500-up,load/online-boutique/workloads/stepped-500-up.csv,das,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_stepped-500-up_das_default_5s_20260806_010225.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_das_subset_20260806_020225_stats.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_das_subset_20260806_020225_failures.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_das_subset_20260806_020225_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_das_subset_20260806_020225_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_stepped-500-up_cpu50_subset,stepped-500-up,load/online-boutique/workloads/stepped-500-up.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_stepped-500-up_default_cpu_default_5s_20260806_011449.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu50_subset_20260806_021449_stats.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu50_subset_20260806_021449_failures.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu50_subset_20260806_021449_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu50_subset_20260806_021449_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_stepped-500-up_cpu80_subset,stepped-500-up,load/online-boutique/workloads/stepped-500-up.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_stepped-500-up_default_cpu_default_5s_20260806_012712.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_022712_stats.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_022712_failures.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_022712_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_022712_stats_history.csv,True,success,
onlineboutique,onlineboutique_wiki_load_cpu80_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_default_cpu_default_5s_20260806_183301.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_193301_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_193301_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_193301_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_193301_stats_history.csv,True,success,
