,count
1,20
2,40
3,60
4,80
5,100
6,100
7,100
8,100
9,100
10,100
11,120
12,140
13,160
14,180
15,200
16,200
17,200
18,200
19,200
20,200
21,220
22,240
23,260
24,280
25,300
26,300
27,300
28,300
29,300
30,300
31,320
32,340
33,360
34,380
35,400
36,400
37,400
38,400
39,400
40,400
41,420
42,440
43,460
44,480
45,500
46,500
47,500
48,500
49,500
50,500
