,count
1,20
2,40
3,60
4,80
5,100
6,140
7,180
8,220
9,260
10,300
11,300
12,300
13,300
14,300
15,300
16,260
17,220
18,180
19,140
20,100
21,80
22,60
23,40
24,20
25,20
26,20
27,40
28,20
29,20
30,20
