,count
1,24
2,48
3,72
4,96
5,120
6,144
7,168
8,192
9,216
10,240
11,272
12,218
13,212
14,253
15,344
16,422
17,424
18,371
19,300
20,264
21,195
22,232
23,272
24,388
25,414
26,394
27,317
28,284
29,221
30,190
31,245
32,326
33,418
34,414
35,370
36,288
37,263
38,195
39,225
40,264
41,374
42,410
43,394
44,315
45,266
46,220
47,187
48,232
49,282
50,367
51,348
52,315
53,225
54,192
55,162
56,164
57,210
58,260
59,307
60,296
61,261
62,206
63,188
64,157
65,203
66,258
67,322
68,366
69,353
70,275
