Scheme,Name,DecisionCount
Custom-DAS,details-v1,4.0
Custom-DAS,productpage-v1,18.0
Custom-DAS,ratings-v1,0.0
Custom-DAS,reviews-v1,0.0
Custom-DAS,reviews-v2,0.0
Custom-DAS,reviews-v3,0.0
DAS,details-v1,10.0
DAS,productpage-v1,13.0
DAS,ratings-v1,0.0
DAS,reviews-v1,0.0
DAS,reviews-v2,0.0
DAS,reviews-v3,0.0
HPA-80,details-v1,10.0
HPA-80,productpage-v1,17.0
HPA-80,ratings-v1,0.0
HPA-80,reviews-v1,0.0
HPA-80,reviews-v2,0.0
HPA-80,reviews-v3,6.0
