Autoscaler,DisplayName,MeanCPUCost_USD,StdCPUCost_USD,MeanMemoryCost_USD,StdMemoryCost_USD,MeanTotalCost_USD,StdTotalCost_USD,MinTotalCost_USD,MaxTotalCost_USD,Runs
queue,QUEUE,0.26890016666666666,0.004952804863340721,0.02373493109809028,0.0004988432441579796,0.29263509776475694,0.005451648107498691,0.2887802004193018,0.29648999511021207,2
hpa80,HPA80,0.33677451555555554,0.010910890193271986,0.031041369601779514,0.0008313901585516239,0.36781588515733504,0.01174228035182366,0.359512839093967,0.3761189312207031,2
das,DAS,0.3553627333333333,0.002051148413464711,0.03291685526529948,0.0002980335143527906,0.38827958859863276,0.0023491819278174623,0.38661846612723216,0.3899407110700334,2
