Autoscaler,DisplayName,CPUCost_USD,MemoryCost_USD,TotalCost_USD
queue,Queue-based,0.27240232857142854,0.024087666538783484,0.296489995110212
hpa80,HPA (80%),0.34448968,0.03162925122070312,0.37611893122070306
das,DAS,0.3568131142857143,0.0331275967843192,0.3899407110700335
