MethodA,MethodB,MeanA_percent,MeanB_percent,UStatistic,PValue,Significance
queue,hpa80,4.246334310850447,4.6123376623376675,2.0,1.0,ns
queue,das,4.246334310850447,6.4434782608695675,0.0,0.3333333333333333,ns
hpa80,das,4.6123376623376675,6.4434782608695675,0.0,0.3333333333333333,ns
