Autoscaler,Minute,AverageCPU_m,AverageMemory_MiB,AverageCPU_cores,AverageMemory_GiB
HPA-50,13,2136.125,1087.5,2.136125,1.06201171875
HPA-50,14,2031.5,1085.0,2.0315,1.0595703125
HPA-50,15,1720.2222222222222,1071.2222222222222,1.720222222222222,1.0461154513888888
HPA-50,16,1759.375,1078.875,1.759375,1.0535888671875
HPA-50,17,2083.875,1084.75,2.083875,1.059326171875
HPA-50,18,2035.875,1098.875,2.035875,1.0731201171875
HPA-50,19,1844.625,1074.875,1.844625,1.0496826171875
HPA-50,20,1757.875,1071.0,1.757875,1.0458984375
HPA-50,21,1975.7777777777778,1081.888888888889,1.9757777777777779,1.0565321180555556
HPA-50,22,2109.25,1098.25,2.10925,1.072509765625
HPA-50,23,1887.25,1080.5,1.88725,1.05517578125
HPA-50,24,1689.0,1074.25,1.689,1.049072265625
HPA-50,25,1853.75,1091.0,1.85375,1.0654296875
HPA-50,26,1963.25,1095.75,1.96325,1.070068359375
HPA-50,27,1827.875,1053.625,1.827875,1.0289306640625
HPA-50,28,1562.625,1020.25,1.562625,0.996337890625
HPA-50,29,1652.75,1020.5,1.65275,0.99658203125
HPA-50,30,1853.0,1020.0,1.853,0.99609375
HPA-50,31,1773.5,1017.75,1.7735,0.993896484375
HPA-50,32,1618.5,1013.75,1.6185,0.989990234375
HPA-50,33,1612.0,1009.75,1.612,0.986083984375
HPA-50,34,1926.25,1013.0,1.92625,0.9892578125
HPA-50,35,1953.5,1033.25,1.9535,1.009033203125
HPA-80,0,206.44444444444446,343.0,0.20644444444444446,0.3349609375
HPA-80,1,362.25,348.0,0.36225,0.33984375
HPA-80,2,712.1111111111111,364.55555555555554,0.7121111111111111,0.3560112847222222
HPA-80,3,1303.0,479.0,1.303,0.4677734375
HPA-80,4,1557.2222222222222,559.5555555555555,1.557222222222222,0.5464409722222222
HPA-80,5,1626.875,619.5,1.626875,0.60498046875
HPA-80,6,1674.25,655.25,1.67425,0.639892578125
HPA-80,7,1695.7777777777778,662.4444444444445,1.6957777777777778,0.6469184027777778
HPA-80,8,1801.5555555555557,675.8888888888889,1.8015555555555556,0.6600477430555556
HPA-80,9,2065.75,721.0,2.06575,0.7041015625
HPA-80,10,2001.25,770.75,2.00125,0.752685546875
HPA-80,11,1696.2222222222222,788.7777777777778,1.696222222222222,0.7702907986111112
HPA-80,12,1795.625,796.125,1.795625,0.7774658203125
HPA-80,13,1963.5555555555557,797.1111111111111,1.9635555555555557,0.7784288194444444
HPA-80,14,1938.0,804.5,1.938,0.78564453125
HPA-80,15,1716.4444444444443,802.8888888888889,1.7164444444444444,0.7840711805555556
HPA-80,16,1770.125,805.0,1.770125,0.7861328125
HPA-80,17,1947.5555555555557,805.3333333333334,1.9475555555555557,0.7864583333333334
HPA-80,18,1969.7777777777778,805.3333333333334,1.9697777777777778,0.7864583333333334
HPA-80,19,1752.375,821.625,1.752375,0.8023681640625
HPA-80,20,1659.125,820.125,1.659125,0.8009033203125
HPA-80,21,1916.625,840.0,1.916625,0.8203125
HPA-80,22,1954.7777777777778,858.5555555555555,1.9547777777777777,0.8384331597222222
HPA-80,23,1762.6666666666667,860.1111111111111,1.7626666666666668,0.8399522569444444
HPA-80,24,1620.888888888889,861.0,1.6208888888888888,0.8408203125
HPA-80,25,1821.125,861.0,1.821125,0.8408203125
HPA-80,26,1991.5,864.75,1.9915,0.844482421875
HPA-80,27,1794.75,865.625,1.79475,0.8453369140625
HPA-80,28,1494.75,863.25,1.49475,0.843017578125
HPA-80,29,1641.0,863.0,1.641,0.8427734375
HPA-80,30,1809.625,860.375,1.809625,0.8402099609375
HPA-80,31,1778.0,861.875,1.778,0.8416748046875
HPA-80,32,1570.5555555555557,864.1111111111111,1.5705555555555557,0.8438585069444444
HPA-80,33,1597.875,866.0,1.597875,0.845703125
HPA-80,34,1846.125,865.0,1.846125,0.8447265625
HPA-80,35,1881.0,864.3333333333334,1.881,0.8440755208333334
PBScaler,0,168.7,358.2,0.1687,0.3498046875
PBScaler,1,431.55555555555554,371.3333333333333,0.4315555555555555,0.3626302083333333
PBScaler,2,682.7777777777778,374.0,0.6827777777777778,0.365234375
PBScaler,3,942.0,379.875,0.942,0.3709716796875
PBScaler,4,1091.888888888889,414.3333333333333,1.091888888888889,0.4046223958333333
PBScaler,5,1293.5,426.375,1.2935,0.4163818359375
PBScaler,6,1365.4444444444443,427.1111111111111,1.3654444444444442,0.4171006944444444
PBScaler,7,1359.7777777777778,438.22222222222223,1.3597777777777778,0.4279513888888889
PBScaler,8,1509.6666666666667,496.77777777777777,1.5096666666666667,0.4851345486111111
PBScaler,9,1633.75,534.0,1.63375,0.521484375
PBScaler,10,1597.7777777777778,559.7777777777778,1.5977777777777777,0.5466579861111112
PBScaler,11,1406.5555555555557,558.4444444444445,1.4065555555555556,0.5453559027777778
PBScaler,12,1486.111111111111,587.6666666666666,1.4861111111111112,0.5738932291666666
PBScaler,13,1673.888888888889,603.2222222222222,1.673888888888889,0.5890842013888888
PBScaler,14,1628.875,607.75,1.628875,0.593505859375
PBScaler,15,1483.375,607.625,1.483375,0.5933837890625
PBScaler,16,1369.111111111111,592.4444444444445,1.3691111111111112,0.5785590277777778
PBScaler,17,1613.111111111111,622.0,1.6131111111111112,0.607421875
PBScaler,18,1594.75,624.125,1.59475,0.6094970703125
PBScaler,19,1523.375,626.125,1.523375,0.6114501953125
PBScaler,20,1388.4444444444443,625.2222222222222,1.3884444444444444,0.6105685763888888
PBScaler,21,1556.875,628.25,1.556875,0.613525390625
PBScaler,22,1628.3333333333333,631.6666666666666,1.6283333333333332,0.6168619791666666
PBScaler,23,1529.5714285714287,626.8571428571429,1.5295714285714286,0.6121651785714286
PBScaler,24,1376.875,626.5,1.376875,0.61181640625
PBScaler,25,1464.2222222222222,626.2222222222222,1.464222222222222,0.6115451388888888
PBScaler,26,1560.375,628.375,1.560375,0.6136474609375
PBScaler,27,1500.7777777777778,627.6666666666666,1.5007777777777778,0.6129557291666666
PBScaler,28,1258.0,623.625,1.258,0.6090087890625
PBScaler,29,1317.375,621.0,1.317375,0.6064453125
PBScaler,30,1507.375,624.0,1.507375,0.609375
PBScaler,31,1533.5,622.25,1.5335,0.607666015625
PBScaler,32,1372.875,621.25,1.372875,0.606689453125
PBScaler,33,1370.4444444444443,622.8888888888889,1.3704444444444444,0.6082899305555556
PBScaler,34,1550.0,624.125,1.55,0.6094970703125
PBScaler,35,1590.125,622.75,1.590125,0.608154296875
PBScaler,36,1549.0,622.0,1.549,0.607421875
