Autoscaler,Minute,AverageCPU_m,AverageMemory_MiB,AverageCPU_cores,AverageMemory_GiB
DAS,0,171.7,364.9,0.1717,0.35634765625
DAS,1,381.25,347.25,0.38125,0.339111328125
DAS,2,609.5,357.6,0.6095,0.34921875
DAS,3,1158.5,448.75,1.1585,0.438232421875
DAS,4,1550.375,577.125,1.550375,0.5635986328125
DAS,5,1751.875,672.0,1.751875,0.65625
DAS,6,1737.75,710.875,1.73775,0.6942138671875
DAS,7,1651.6666666666667,707.1111111111111,1.6516666666666668,0.6905381944444444
DAS,8,1924.6666666666667,699.6666666666666,1.9246666666666667,0.6832682291666666
DAS,9,2059.25,793.625,2.05925,0.7750244140625
DAS,10,1891.7777777777778,808.6666666666666,1.8917777777777778,0.7897135416666666
DAS,11,1678.875,816.875,1.678875,0.7977294921875
DAS,12,1806.888888888889,802.1111111111111,1.806888888888889,0.7833116319444444
DAS,13,2063.25,821.375,2.06325,0.8021240234375
DAS,14,1975.111111111111,843.1111111111111,1.975111111111111,0.8233506944444444
DAS,15,1682.875,841.5,1.682875,0.82177734375
DAS,16,1736.625,844.125,1.736625,0.8243408203125
DAS,17,2001.125,841.75,2.001125,0.822021484375
DAS,18,1995.4444444444443,864.6666666666666,1.9954444444444444,0.8444010416666666
DAS,19,1818.75,884.375,1.81875,0.8636474609375
DAS,20,1630.3333333333333,847.6666666666666,1.6303333333333332,0.8277994791666666
DAS,21,1973.125,849.5,1.973125,0.82958984375
DAS,22,2011.875,856.375,2.011875,0.8363037109375
DAS,23,1799.625,854.75,1.799625,0.834716796875
DAS,24,1585.0,887.2222222222222,1.585,0.8664279513888888
DAS,25,1757.3333333333333,917.0,1.7573333333333332,0.8955078125
DAS,26,1886.625,928.875,1.886625,0.9071044921875
DAS,27,1715.2857142857142,922.4285714285714,1.7152857142857143,0.9008091517857143
DAS,28,1583.3333333333333,891.4444444444445,1.5833333333333333,0.8705512152777778
DAS,29,1576.25,852.625,1.57625,0.8326416015625
DAS,30,1735.111111111111,855.4444444444445,1.735111111111111,0.8353949652777778
DAS,31,1689.625,857.0,1.689625,0.8369140625
DAS,32,1490.6666666666667,860.5555555555555,1.4906666666666668,0.8403862847222222
DAS,33,1540.888888888889,862.1111111111111,1.540888888888889,0.8419053819444444
DAS,34,1854.625,856.875,1.854625,0.8367919921875
DAS,35,1844.0,864.75,1.844,0.844482421875
DAS,36,1734.0,863.0,1.734,0.8427734375
HPA-50,0,186.88888888888889,359.44444444444446,0.18688888888888888,0.3510199652777778
HPA-50,1,403.25,352.125,0.40325,0.3438720703125
HPA-50,2,903.5,456.5,0.9035,0.44580078125
HPA-50,3,1437.0,609.875,1.437,0.5955810546875
HPA-50,4,1688.75,727.5,1.68875,0.71044921875
HPA-50,5,1929.0,872.75,1.929,0.852294921875
HPA-50,6,1954.5555555555557,903.6666666666666,1.9545555555555556,0.8824869791666666
HPA-50,7,1808.5,929.5,1.8085,0.90771484375
HPA-50,8,2045.2857142857142,970.8571428571429,2.0452857142857144,0.9481026785714286
HPA-50,9,2195.4444444444443,1033.2222222222222,2.1954444444444445,1.0090060763888888
HPA-50,10,1965.5,1052.5,1.9655,1.02783203125
HPA-50,11,1767.0,1051.75,1.767,1.027099609375
HPA-50,12,1865.75,1071.875,1.86575,1.0467529296875
