Autoscaler,ApplicationCPU_core_minutes,ApplicationMemory_GiB_minutes
DAS,61.05495793650793,28.198321630084322
HPA-50,62.7781746031746,33.9523208860367
HPA-80,59.696555555555555,26.528076171875
PBScaler,50.910160317460324,20.345758928571428
