Type,Requests,Failure,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%,,,,,,,,
None,16817,64,1800,2600,3200,3500,4700,5900,7100,8000,11000,12000,12000,,,,,,,,
HPA-20,34810,912,100,170,240,310,780,2300,6100,10000,15000,16000,17000,,,,,,,,
HPA-50,35791,108,68,100,140,180,490,2300,6500,11000,15000,17000,17000,,,,,,,,
HPA-80,42441,10,59,82,100,120,190,300,780,7700,14000,16000,16000,,,,,,,,
