Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1905,0,180.0,298.4249846171343,51.65154207497835,2725.9399998001754,10268.797375328084,4.52976401046287,0.0,180,260,330,400,650,1100,1600,1800,2300,2700,2700
GET,/cart,4902,0,150.0,224.99198002360004,45.474874787032604,2817.1138749457896,13765.834965320277,11.65611715448241,0.0,150,190,230,260,430,740,1100,1300,2200,2800,2800
POST,/cart,4816,0,200.0,284.97094786327574,78.39029096066952,3522.82658405602,17968.89119601329,11.451623871070437,0.0,200,250,290,340,500,790,1200,1800,2900,3500,3500
POST,/cart/checkout,1597,0,170.0,219.63561351166697,67.21183378249407,2607.0320419967175,6561.167188478397,3.797392716382784,0.0,170,200,230,250,330,490,1100,1200,2400,2600,2600
GET,/product/0PUK6V6EV0,2263,0,120.0,192.2171604173473,47.382916789501905,2885.3514580987394,7732.284577993813,5.381026748387126,0.0,120,150,180,210,380,620,1000,1300,2600,2900,2900
GET,/product/1YMWWN1N4O,2326,0,120.0,186.75047533545782,46.18987487629056,2297.8201671503484,7755.13671539123,5.53082996763078,0.0,120,150,180,210,350,630,950,1100,1600,2300,2300
GET,/product/2ZYFJ3GM2N,2307,0,120.0,195.47523890117745,47.39737510681152,2617.7212921902537,7750.469874295622,5.485651218969996,0.0,120,160,190,220,400,700,980,1200,1700,2600,2600
GET,/product/66VCHSJNUP,2284,0,130.0,190.07436860509335,48.432749696075916,2864.474333822727,7719.785464098073,5.430961154801677,0.0,130,160,190,220,340,610,950,1100,2700,2900,2900
GET,/product/6E92ZMYYFZ,2355,0,120.0,191.02927573507696,47.16341709718108,2686.5103342570364,7706.615286624204,5.599787005060398,0.0,120,150,180,210,340,660,1000,1300,1900,2700,2700
GET,/product/9SIQT8TOJO,2344,0,120.0,197.22117386053478,46.60358279943466,2251.87304103747,7759.034556313994,5.573630887414681,0.0,120,160,190,220,380,710,1000,1200,2000,2300,2300
GET,/product/L9ECAV7KIM,2251,0,120.0,193.0084650773805,45.244208071380854,2998.6202497966588,7725.055530875166,5.352492801864526,0.0,120,160,190,220,380,640,970,1200,2300,3000,3000
GET,/product/LS4PSXUNUM,2279,0,120.0,191.22606919062483,48.14674984663725,3020.1009581796825,7725.116279069767,5.419072010417261,0.0,120,150,180,200,340,630,1100,1300,2700,3000,3000
GET,/product/OLJCESPC7Z,2337,0,130.0,199.22152798360625,45.47195788472891,3074.8458337038755,7758.364569961489,5.556986085276497,0.0,130,160,190,220,370,730,1100,1200,2100,3100,3100
POST,/setCurrency,1582,0,180.0,257.1800246107122,75.39399992674589,2491.9358752667904,10281.86346396966,3.7617252832295334,0.0,180,220,270,310,460,770,1100,1500,2200,2500,2500
,Aggregated,35548,0,140.0,219.5317561450554,45.244208071380854,3522.82658405602,10150.657702261731,84.52706091545097,0.0,140,180,220,250,420,720,1100,1300,2400,3000,3500
