Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785246210,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785246211,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785246212,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785246213,80,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,20,20,2259.01530002011,2250.1959999935934,2240.252199990209,2259.01530002011,0.0
1785246215,100,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,40,40,2263.5554000153206,2253.733664995525,2240.252199990209,2263.5554000153206,0.0
1785246216,100,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,80,80,2263.5554000153206,2249.65414749895,2232.5339999515563,2263.5554000153206,0.0
1785246217,100,,Aggregated,5.000000,5.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,120,120,2263.5554000153206,2249.6165658327905,2232.5339999515563,2263.5554000153206,0.0
1785246218,100,,Aggregated,8.000000,8.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,165,165,2268.5911000007764,2251.1491715146058,2232.5339999515563,2268.5911000007764,0.0
1785246219,100,,Aggregated,17.142857,17.142857,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,189,189,2269.0698000369594,2252.0811153445197,2232.5339999515563,2269.0698000369594,0.0
1785246220,100,,Aggregated,17.142857,17.142857,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,219,219,2300,2252.11636666671,2232.5339999515563,2300.993999990169,0.0
1785246221,100,,Aggregated,20.888889,20.888889,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,238,238,2300,2252.1514147065163,2226.758200034965,2300.993999990169,0.0
1785246222,100,,Aggregated,21.900000,21.900000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,260,260,2300,2251.6537184616586,2226.758200034965,2300.993999990169,0.0
1785246223,100,,Aggregated,23.700000,23.700000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,280,280,2300,2251.3403528567455,2226.758200034965,2300.993999990169,0.0
1785246224,100,,Aggregated,25.900000,25.900000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,298,298,2300,2251.459721140657,2226.758200034965,2300.993999990169,0.0
1785246225,100,,Aggregated,27.700000,27.700000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,327,327,2300,2252.195641896132,2226.758200034965,2300.993999990169,0.0
1785246226,100,,Aggregated,27.400000,27.400000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,341,341,2300,2252.0561205280214,2226.758200034965,2300.993999990169,0.0
1785246227,100,,Aggregated,28.400000,28.400000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,367,367,2300,2252.3082970025853,2226.758200034965,2300.993999990169,0.0
1785246228,100,,Aggregated,26.000000,26.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,384,384,2300,2252.642608333493,2226.758200034965,2300.993999990169,0.0
1785246229,100,,Aggregated,24.100000,24.100000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,412,412,2300,2253.264221117365,2226.758200034965,2300.993999990169,0.0
