Autoscaler,Minute,MeanReplicas,StdReplicas,MinReplicas,MaxReplicas,Runs
queue-CDT120,0,11.0,0.0,11.0,11.0,5
queue-CDT120,1,11.0,0.0,11.0,11.0,5
queue-CDT120,2,11.0,0.0,11.0,11.0,5
queue-CDT120,3,11.732142857142858,0.2977380714380903,11.285714285714286,12.0,5
queue-CDT120,4,13.7,0.16770509831248423,13.5,13.875,5
queue-CDT120,5,16.521428571428572,0.28610464404993297,16.142857142857142,16.875,5
queue-CDT120,6,18.457142857142856,0.7578879420158785,17.428571428571427,19.375,5
queue-CDT120,7,20.468650793650795,0.7504177051311843,19.428571428571427,21.25,5
queue-CDT120,8,20.521428571428572,0.8203991997428903,19.625,21.625,5
queue-CDT120,9,23.227777777777778,1.0721837432734587,22.142857142857142,24.75,5
queue-CDT120,10,24.228571428571428,0.4235946151206164,23.571428571428573,24.625,5
queue-CDT120,11,26.59007936507937,0.9634602744422424,25.285714285714285,27.625,5
queue-CDT120,12,26.135714285714283,0.7930461486430344,25.428571428571427,27.375,5
queue-CDT120,13,28.539285714285718,1.1272935803625117,27.0,29.857142857142858,5
queue-CDT120,14,28.20357142857143,0.6645160890851792,27.5,29.0,5
queue-CDT120,15,26.621428571428574,0.7439595185936672,25.875,27.57142857142857,5
queue-CDT120,16,26.102777777777778,0.4624003573214402,25.625,26.857142857142858,5
queue-CDT120,17,29.25,0.8276164447326037,28.25,30.285714285714285,5
queue-CDT120,18,33.114285714285714,0.6575481841754807,32.57142857142857,34.166666666666664,5
queue-CDT120,19,35.70952380952381,1.1196047245474732,34.57142857142857,37.0,5
queue-CDT120,20,35.773809523809526,1.1194907937040888,34.25,37.333333333333336,5
queue-CDT120,21,33.667857142857144,1.1131461663928506,32.142857142857146,35.0,5
queue-CDT120,22,31.06071428571429,1.1565584944223137,29.25,32.42857142857143,5
queue-CDT120,23,29.167857142857144,0.6883227915056452,28.0,29.714285714285715,5
queue-CDT120,24,27.11428571428571,1.2334103211860041,25.5,28.428571428571427,5
queue-CDT120,25,26.910714285714285,0.6440960284596947,26.0,27.625,5
queue-CDT120,26,30.16547619047619,0.9143872401468153,28.714285714285715,31.166666666666668,5
queue-CDT120,27,34.125,1.0721723608770068,33.0,35.57142857142857,5
queue-CDT120,28,35.284523809523805,1.882724075192821,32.375,37.0,5
queue-CDT120,29,34.30357142857143,1.3178039091067917,32.57142857142857,35.625,5
queue-CDT120,30,31.764285714285712,0.8374219427529243,31.0,33.0,5
queue-CDT120,31,30.439285714285717,1.062282390681038,29.142857142857142,31.42857142857143,5
queue-CDT120,32,28.16428571428571,1.2564501947298723,26.714285714285715,30.125,5
queue-CDT120,33,26.692857142857143,1.3275317552602992,25.142857142857142,28.375,5
queue-CDT120,34,27.978571428571428,0.5800686095943599,27.571428571428573,29.0,5
queue-CDT120,35,32.44285714285714,0.2243660759883772,32.166666666666664,32.66666666666667,5
queue-CDT120,36,35.70952380952381,0.534628529353882,35.0,36.333333333333336,5
queue-CDT120,37,35.25714285714285,1.0222025039999043,33.857142857142854,36.57142857142857,5
queue-CDT120,38,33.27142857142857,1.1023369193098211,32.42857142857143,35.125,5
queue-CDT120,39,31.303571428571427,0.8216226478805243,30.75,32.75,5
queue-CDT120,40,29.692857142857143,0.8550383390377825,29.0,31.142857142857142,5
queue-CDT120,41,27.41071428571429,0.4709345355085926,26.875,27.875,5
queue-CDT120,42,26.507142857142856,0.6539957638881709,25.5,27.285714285714285,5
queue-CDT120,43,29.91904761904762,0.8914433250712355,29.0,31.0,5
queue-CDT120,44,34.201190476190476,1.0465396224729846,32.625,35.16666666666667,5
queue-CDT120,45,34.740476190476194,1.4133213803884228,33.0,36.285714285714285,5
queue-CDT120,46,33.590476190476195,1.0453709645454745,32.142857142857146,34.857142857142854,5
queue-CDT120,47,31.35,1.1537980759214324,30.0,32.5,5
queue-CDT120,48,30.121428571428574,1.015065092916282,28.75,31.428571428571427,5
queue-CDT120,49,27.167857142857144,1.3179006961444246,26.25,29.25,5
queue-CDT120,50,25.84166666666667,1.416176385749867,24.25,27.75,5
queue-CDT120,51,27.510714285714283,1.0292749330257203,26.625,29.285714285714285,5
queue-CDT120,52,31.376190476190477,1.6603963682727216,29.5,34.0,5
queue-CDT120,53,33.20952380952381,1.194564408888918,31.857142857142858,35.0,5
queue-CDT120,54,33.11071428571429,0.779234645439396,32.0,34.125,5
queue-CDT120,55,30.814285714285717,0.6436750748947915,29.714285714285715,31.375,5
queue-CDT120,56,28.79642857142857,1.2632966268248078,27.375,30.142857142857142,5
queue-CDT120,57,26.042857142857144,0.9308522811852353,25.285714285714285,27.5,5
queue-CDT120,58,24.739285714285714,0.9351245415254934,23.571428571428573,25.5,5
queue-CDT120,59,23.98690476190476,0.19123731858123288,23.666666666666668,24.142857142857142,5
queue-CDT120,60,26.6,1.1883791053191666,25.857142857142858,28.714285714285715,5
queue-CDT120,61,29.05,1.7476174257161292,27.25,31.833333333333336,5
queue-CDT120,62,30.553571428571427,0.8423197439336263,29.57142857142857,31.571428571428573,5
queue-CDT120,63,29.896428571428572,0.7142187468607549,28.875,30.857142857142858,5
queue-CDT120,64,28.497619047619047,0.7900493684163965,27.666666666666668,29.42857142857143,5
queue-CDT120,65,25.557142857142857,1.2003873146678206,24.285714285714285,27.0,5
queue-CDT120,66,24.114285714285714,0.7979565739296544,23.0,25.0,5
queue-CDT120,67,23.185714285714287,0.695466368265034,22.285714285714285,24.142857142857142,5
queue-CDT120,68,25.923809523809524,0.5102131518468126,25.142857142857146,26.428571428571427,5
queue-CDT120,69,29.657142857142855,0.6877202801091947,29.142857142857142,30.857142857142858,5
queue-CDT120,70,31.990476190476194,0.9031313628168389,31.0,33.14285714285714,5
queue-CDT120,71,33.43333333333333,1.0563958643530496,32.5,35.25,5
queue-CDT120,72,32.62261904761905,0.9661174548200319,31.166666666666664,33.57142857142857,5
queue-CDT300,0,11.0,0.0,11.0,11.0,5
queue-CDT300,1,11.0,0.0,11.0,11.0,5
queue-CDT300,2,11.0,0.0,11.0,11.0,5
queue-CDT300,3,11.788095238095238,0.10297791080313613,11.625,11.875,5
