Autoscaler,DisplayName,Run,File,CPUCost_USD,MemoryCost_USD,TotalCost_USD
queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1.csv,0.3297043857142857,0.029342283412388395,0.3590466691266741
queue-CDT120,QUEUE-CDT120,2,queue-CDT120-2.csv,0.32647582539682546,0.029015714537605406,0.3554915399344308
queue-CDT120,QUEUE-CDT120,3,queue-CDT120-3.csv,0.3276678476190476,0.029124226829892113,0.35679207444893973
queue-CDT120,QUEUE-CDT120,4,queue-CDT120-4.csv,0.325895826984127,0.02888273141043527,0.35477855839456224
queue-CDT120,QUEUE-CDT120,5,queue-CDT120-5.csv,0.3244710047619048,0.028888709949311756,0.3533597147112165
queue-CDT300,QUEUE-CDT300,1,queue-CDT300-1.csv,0.35245350317460317,0.03144207407149058,0.3838955772460937
queue-CDT300,QUEUE-CDT300,2,queue-CDT300-2.csv,0.3442045,0.030541042054191468,0.3747455420541915
queue-CDT300,QUEUE-CDT300,3,queue-CDT300-3.csv,0.3397729857142857,0.030487957240513393,0.3702609429547991
queue-CDT300,QUEUE-CDT300,4,queue-CDT300-4.csv,0.3476147428571429,0.030933691406249998,0.3785484342633928
queue-CDT300,QUEUE-CDT300,5,queue-CDT300-5.csv,0.33314973333333336,0.029607882719494046,0.36275761605282736
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1.csv,0.32323146793650787,0.02986095548890129,0.3530924234254092
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2.csv,0.3177633777777777,0.029492394476996527,0.3472557722547743
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3.csv,0.31999745714285716,0.02958949615962922,0.3495869533024864
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4.csv,0.32085228888888884,0.029627759467230903,0.3504800483561198
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5.csv,0.32004395555555554,0.029533513319227434,0.34957746887478297
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1.csv,0.34011325555555555,0.03128079779730903,0.3713940533528646
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2.csv,0.33661771428571424,0.03137089091951885,0.36798860520523313
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3.csv,0.3316254476190476,0.03097856141105531,0.362604009030103
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4.csv,0.3333923873015873,0.031046440390935022,0.3644388276925223
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5.csv,0.3330128247619048,0.031170877666170636,0.3641837024280754
