Autoscaler,DisplayName,Run,File,CPUCost_USD,MemoryCost_USD,TotalCost_USD
queue-CDT120,Queue-CDT120,1,queue-CDT120-1.csv,0.3140908038095238,0.027826433082217265,0.3419172368917411
queue-CDT120,Queue-CDT120,2,queue-CDT120-2.csv,0.29426520476190476,0.026354964657738098,0.3206201694196429
queue-CDT120,Queue-CDT120,3,queue-CDT120-3.csv,0.30521742857142853,0.027211542038690476,0.332428970610119
queue-CDT300,Queue-CDT300,1,queue-CDT300-1.csv,0.31551513333333336,0.028261907087053572,0.34377704042038687
queue-CDT300,Queue-CDT300,2,queue-CDT300-2.csv,0.30960690952380954,0.027315871000744046,0.3369227805245536
queue-CDT300,Queue-CDT300,3,queue-CDT300-3.csv,0.299536,0.0265497998046875,0.3260857998046875
queue-CDT300,Queue-CDT300,4,queue-CDT300-4.csv,0.3003843650793651,0.02667735646081349,0.3270617215401786
queue-CDT300,Queue-CDT300,5,queue-CDT300-5.csv,0.31526662857142856,0.027406072823660713,0.34267270139508926
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1.csv,0.3183232679365079,0.02939976408265129,0.3477230320191592
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2.csv,0.3128551777777777,0.02903120307074653,0.3418863808485243
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3.csv,0.31524445714285715,0.02913892975337922,0.3443833868962364
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4.csv,0.31625448888888885,0.029214546576605903,0.3454690354654948
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5.csv,0.31084835555555557,0.028707087537977433,0.33955544309353297
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1.csv,0.33497225555555554,0.030808981391059028,0.3657812369466146
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2.csv,0.3268013142857143,0.03044850810701885,0.3572498223927332
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3.csv,0.3268724476190476,0.03052799500480531,0.35740044262385295
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4.csv,0.3286393873015873,0.030595873984685024,0.35923526128627226
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5.csv,0.3279494247619048,0.030699061259920637,0.3586484860218254
hpa60-CDT120,hpa60-CDT120,2,hpa60-CDT120-2.csv,0.4471472126984127,0.04112952586340526,0.48827673856181797
hpa60-CDT120,hpa60-CDT120,3,hpa60-CDT120-3.csv,0.4428668952380952,0.04066573058113219,0.4835326258192274
hpa60-CDT120,hpa60-CDT120,4,hpa60-CDT120-4.csv,0.4362544206349206,0.040086503053695446,0.4763409236886161
hpa60-CDT120,hpa60-CDT120,5,hpa60-CDT120-5.csv,0.44482845079365074,0.04116774009099083,0.48599619088464163
hpa60-CDT300,hpa60-CDT300,1,hpa60-CDT300-1.csv,0.4662134095238095,0.04330856197296627,0.5095219714967757
hpa60-CDT300,hpa60-CDT300,2,hpa60-CDT300-2.csv,0.46020076444444447,0.0423152610405816,0.502516025485026
hpa60-CDT300,hpa60-CDT300,3,hpa60-CDT300-3.csv,0.4502439761904762,0.041297132800874256,0.49154110899135045
hpa60-CDT300,hpa60-CDT300,4,hpa60-CDT300-4.csv,0.4646935888888889,0.0426528809562562,0.5073464698451451
hpa60-CDT300,hpa60-CDT300,5,hpa60-CDT300-5.csv,0.4529254873015873,0.042193619481646835,0.49511910678323406
