Autoscaler,DisplayName,MeanScaleUpEvents,StdScaleUpEvents,MeanScaleDownEvents,StdScaleDownEvents,MeanDecisionEvents,StdDecisionEvents,MeanTotalScalingMagnitude,StdTotalScalingMagnitude,MinTotalScalingMagnitude,MaxTotalScalingMagnitude,Runs
queue-CDT120,Queue-CDT120,34.333333333333336,0.5773502691896263,14.0,2.6457513110645907,48.333333333333336,3.214550253664319,71.90873015873017,10.047734239165145,63.333333333333336,82.9642857142857,3
queue-CDT300,Queue-CDT300,22.8,1.4832396974191326,8.0,1.0,30.8,1.7888543819998317,37.65,4.819323467542645,31.0,43.0,5
hpa80-CDT120,HPA80-CDT120,32.8,1.923538406167134,21.2,1.6431676725154984,54.0,2.0,79.67777777777778,5.011314359021827,74.08333333333333,85.97222222222223,5
hpa80-CDT300,HPA80-CDT300,19.8,0.8366600265340757,9.8,1.095445115010332,29.6,1.3416407864998743,37.35730158730159,3.898718561885705,34.361111111111114,43.81428571428572,5
hpa60-CDT120,hpa60-CDT120,33.25,1.707825127659933,23.5,2.081665999466133,56.75,3.201562118716425,143.60515873015873,12.016173776404106,127.46428571428572,155.52777777777777,4
hpa60-CDT300,hpa60-CDT300,24.6,2.60768096208106,11.8,1.7888543819998317,36.4,3.577708763999663,69.10595238095239,6.75859293897326,58.71428571428572,77.25,5
