Method,DisplayName,Run,File,SLOViolationRate_percent,TotalRequestCount
queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv,1.9600000000000062,421410
queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv,2.0000000000000018,421030
queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv,1.961538461538459,418800
queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv,3.2499999999999973,419951
queue-CDT300,Queue-CDT300,2,queue-CDT300-2_stats_history.csv,2.8181818181818197,420721
queue-CDT300,Queue-CDT300,3,queue-CDT300-3_stats_history.csv,2.3157894736842155,420914
queue-CDT300,Queue-CDT300,4,queue-CDT300-4_stats_history.csv,2.954545454545454,420257
queue-CDT300,Queue-CDT300,5,queue-CDT300-5_stats_history.csv,1.8260869565217441,420926
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1_stats_history.csv,5.681818181818188,417526
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2_stats_history.csv,6.923076923076921,416733
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3_stats_history.csv,7.222222222222219,415485
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4_stats_history.csv,6.666666666666665,416737
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5_stats_history.csv,6.25,418102
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1_stats_history.csv,4.441860465116287,419366
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2_stats_history.csv,6.458333333333332,416440
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3_stats_history.csv,5.714285714285716,417811
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4_stats_history.csv,6.25,417303
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5_stats_history.csv,6.400000000000006,417117
hpa60-CDT120,hpa60-CDT120,1,hpa60-CDT120-2_stats_history.csv,3.9200000000000013,417062
hpa60-CDT120,hpa60-CDT120,2,hpa60-CDT120-3_stats_history.csv,3.500000000000003,418246
hpa60-CDT120,hpa60-CDT120,3,hpa60-CDT120-4_stats_history.csv,4.039999999999999,416770
hpa60-CDT120,hpa60-CDT120,4,hpa60-CDT120-5_stats_history.csv,4.249999999999998,416346
hpa60-CDT300,hpa60-CDT300,1,hpa60-CDT300-1_stats_history.csv,4.2800000000000065,416358
hpa60-CDT300,hpa60-CDT300,2,hpa60-CDT300-2_stats_history.csv,3.565217391304354,418650
hpa60-CDT300,hpa60-CDT300,3,hpa60-CDT300-3_stats_history.csv,3.500000000000003,419350
hpa60-CDT300,hpa60-CDT300,4,hpa60-CDT300-4_stats_history.csv,3.9090909090909176,416487
hpa60-CDT300,hpa60-CDT300,5,hpa60-CDT300-5_stats_history.csv,4.192307692307695,416767
