Autoscaler,Minute,MeanReplicaDelta,StdReplicaDelta,MinReplicaDelta,MaxReplicaDelta,Runs
queue-CDT120,1,0.0,0.0,0.0,0.0,3
queue-CDT120,2,0.0,0.0,0.0,0.0,3
queue-CDT120,3,0.125,0.21650635094610965,0.0,0.375,3
queue-CDT120,4,1.0773809523809526,0.4772681258428831,0.75,1.625,3
queue-CDT120,5,1.8333333333333333,0.6352057891406716,1.1428571428571423,2.3928571428571423,3
queue-CDT120,6,1.2976190476190474,0.4465476031788343,0.8571428571428577,1.75,3
queue-CDT120,7,1.3968253968253965,0.4320843678989273,1.0,1.8571428571428577,3
queue-CDT120,8,1.996031746031747,0.9627658019570449,0.8928571428571423,2.666666666666668,3
queue-CDT120,9,1.4226190476190474,0.5446672516004492,0.875,1.9642857142857153,3
queue-CDT120,10,0.934523809523809,0.5776263592361018,0.2857142857142847,1.3928571428571423,3
queue-CDT120,11,0.5357142857142859,0.4670248868079295,0.0,0.8571428571428577,3
queue-CDT120,12,0.5714285714285706,0.5714285714285712,0.0,1.1428571428571423,3
queue-CDT120,13,0.23809523809523844,0.21821789023599317,0.0,0.4285714285714306,3
queue-CDT120,14,1.154761904761905,0.732215443556275,0.7142857142857153,2.0,3
queue-CDT120,15,0.08333333333333333,0.14433756729740646,0.0,0.25,3
queue-CDT120,16,0.0,0.0,0.0,0.0,3
queue-CDT120,17,0.7619047619047615,0.45922146480918796,0.42857142857142705,1.2857142857142847,3
queue-CDT120,18,2.6269841269841265,1.3473610162977279,1.071428571428573,3.428571428571427,3
queue-CDT120,19,2.8174603174603163,1.1821934083406616,1.5,3.7857142857142847,3
queue-CDT120,20,1.4603174603174622,0.6460824440931534,0.7142857142857153,1.8333333333333357,3
queue-CDT120,21,0.0,0.0,0.0,0.0,3
queue-CDT120,22,0.0,0.0,0.0,0.0,3
queue-CDT120,23,-3.0238095238095233,0.6352057891406722,-3.75,-2.5714285714285694,3
queue-CDT120,24,-1.6428571428571435,0.5333280186810024,-2.25,-1.25,3
queue-CDT120,25,-0.19642857142857176,1.429798580077571,-1.7142857142857153,1.125,3
queue-CDT120,26,1.5376984126984123,0.4240975702066416,1.1666666666666679,2.0,3
queue-CDT120,27,2.412698412698415,0.2611822646334012,2.2619047619047628,2.7142857142857153,3
queue-CDT120,28,0.8650793650793638,0.8826667146213977,0.1666666666666643,1.8571428571428577,3
queue-CDT120,29,0.04761904761904745,0.08247860988423196,0.0,0.14285714285714235,3
queue-CDT120,30,0.0,0.0,0.0,0.0,3
queue-CDT120,31,-1.9285714285714282,0.39769745448785826,-2.2857142857142847,-1.5,3
queue-CDT120,32,-2.0714285714285716,0.3976974544878582,-2.5,-1.7142857142857153,3
queue-CDT120,33,-0.6666666666666666,1.1547005383792517,-2.0,0.0,3
queue-CDT120,34,0.0,0.7603453162872774,-0.875,0.5,3
queue-CDT120,35,2.055555555555555,0.6268491164664866,1.4583333333333321,2.708333333333332,3
queue-CDT120,36,2.2777777777777786,1.6442942874387494,1.1666666666666679,4.166666666666668,3
queue-CDT120,37,0.8333333333333334,0.7637626158259734,0.0,1.5,3
queue-CDT120,38,0.16666666666666666,0.2886751345948129,0.0,0.5,3
queue-CDT120,39,0.0,0.0,0.0,0.0,3
queue-CDT120,40,-3.7619047619047614,0.6751165180360865,-4.285714285714285,-3.0,3
queue-CDT120,41,-0.8214285714285717,0.7482973871341777,-1.4642857142857153,0.0,3
queue-CDT120,42,-0.7023809523809526,1.216559495792426,-2.1071428571428577,0.0,3
queue-CDT120,43,1.0595238095238102,0.44654760317883535,0.75,1.571428571428573,3
queue-CDT120,44,2.0714285714285707,0.5038119992737816,1.5357142857142847,2.5357142857142847,3
queue-CDT120,45,0.8214285714285717,0.1556749622693094,0.7142857142857153,1.0,3
queue-CDT120,46,0.0,0.0,0.0,0.0,3
queue-CDT120,47,0.0,0.0,0.0,0.0,3
queue-CDT120,48,-0.6964285714285717,0.9012109200675392,-1.7142857142857153,0.0,3
queue-CDT120,49,-2.6369047619047614,0.3572916356775938,-3.0,-2.2857142857142847,3
queue-CDT120,50,-0.9166666666666666,1.5877132402714709,-2.75,0.0,3
queue-CDT120,51,0.25,0.4330127018922193,0.0,0.75,3
queue-CDT120,52,1.1666666666666667,0.6788846394944409,0.5,1.8571428571428577,3
queue-CDT120,53,1.1666666666666667,0.32208926805877797,0.8571428571428577,1.5,3
queue-CDT120,54,0.0,0.0,0.0,0.0,3
queue-CDT120,55,0.0,0.0,0.0,0.0,3
queue-CDT120,56,0.0,0.0,0.0,0.0,3
queue-CDT120,57,-2.0476190476190474,0.29738085706658934,-2.2857142857142847,-1.7142857142857153,3
queue-CDT120,58,-1.6190476190476193,0.29738085706659134,-1.8571428571428577,-1.2857142857142847,3
queue-CDT120,59,-1.3333333333333333,1.2481278497220158,-2.7142857142857153,-0.2857142857142847,3
queue-CDT120,60,1.0476190476190474,0.7330859199209833,0.4285714285714306,1.8571428571428577,3
queue-CDT120,61,0.9702380952380961,0.15395853757592248,0.8035714285714306,1.1071428571428577,3
queue-CDT120,62,0.6488095238095232,0.0916357399901238,0.5714285714285694,0.75,3
queue-CDT120,63,0.0,0.0,0.0,0.0,3
queue-CDT120,64,0.0,0.0,0.0,0.0,3
queue-CDT120,65,-0.28571428571428586,0.4948716593053938,-0.8571428571428577,0.0,3
queue-CDT120,66,-1.4166666666666667,0.6588616239057953,-2.1428571428571423,-0.8571428571428577,3
queue-CDT120,67,-0.7857142857142859,1.0897247358851676,-1.8928571428571423,0.2857142857142847,3
queue-CDT120,68,0.8392857142857153,0.32291323785759296,0.5,1.142857142857146,3
queue-CDT120,69,1.2837301587301582,0.0744246005298066,1.2083333333333321,1.3571428571428577,3
queue-CDT120,70,1.3555555555555543,0.16394604868159124,1.2380952380952372,1.542857142857141,3
queue-CDT120,71,0.6206349206349225,0.6312054000020028,0.0,1.2619047619047663,3
queue-CDT300,1,0.0,0.0,0.0,0.0,5
queue-CDT300,2,0.0,0.0,0.0,0.0,5
queue-CDT300,3,0.2,0.22707377655731187,0.0,0.5,5
queue-CDT300,4,1.4285714285714284,0.4898523830123284,0.75,2.0178571428571423,5
