Method,Minute,MeanLatency_ms,StdLatency_ms,Runs
queue-CDT120,0,0.0,0.0,3
queue-CDT120,1,295.3,39.044291756286235,3
queue-CDT120,2,192.0583333333333,11.221628813647907,3
queue-CDT120,3,425.3684523809524,59.41028533523421,3
queue-CDT120,4,574.1303571428572,154.18820747999132,3
queue-CDT120,5,438.7321428571429,22.606388782278085,3
queue-CDT120,6,402.7583333333334,99.7548651269531,3
queue-CDT120,7,409.75773809523815,111.384694548373,3
queue-CDT120,8,407.9863095238095,257.8303904697571,3
queue-CDT120,9,226.90892857142856,8.055085183995798,3
queue-CDT120,10,217.54940476190475,5.269038709296788,3
queue-CDT120,11,220.67380952380952,14.81826013178785,3
queue-CDT120,12,233.02619047619046,11.34543946256113,3
queue-CDT120,13,244.625,25.953773417209252,3
queue-CDT120,14,261.877380952381,73.98290828655911,3
queue-CDT120,15,204.45119047619048,3.3762041187849916,3
queue-CDT120,16,220.20648148148146,11.406265988770599,3
queue-CDT120,17,277.3142857142857,53.34934729818968,3
queue-CDT120,18,296.2055555555556,27.28692367607062,3
queue-CDT120,19,329.2984126984127,37.913895341148105,3
queue-CDT120,20,318.09761904761905,72.28511586897041,3
queue-CDT120,21,231.35,2.321494504558197,3
queue-CDT120,22,198.76666666666665,10.822881404910705,3
queue-CDT120,23,914.5952380952382,1223.9322993689493,3
queue-CDT120,24,217.0065476190476,3.3668942407256006,3
queue-CDT120,25,210.67916666666667,8.198650168371207,3
queue-CDT120,26,233.83095238095237,8.70788504200428,3
queue-CDT120,27,262.58412698412695,20.08734009390924,3
queue-CDT120,28,258.17619047619047,21.310102679022336,3
queue-CDT120,29,233.72857142857143,16.59153337072365,3
queue-CDT120,30,208.74285714285713,6.436439629332409,3
queue-CDT120,31,211.1642857142857,8.07798406352798,3
queue-CDT120,32,181.19999999999996,14.74205294387454,3
queue-CDT120,33,197.76190476190473,20.509302140180477,3
queue-CDT120,34,211.95416666666665,20.401954307941523,3
queue-CDT120,35,287.3722222222222,54.75464803540864,3
queue-CDT120,36,274.51666666666665,39.70798147119806,3
queue-CDT120,37,253.61190476190475,50.0409446299306,3
queue-CDT120,38,218.61142857142855,10.966499264690125,3
queue-CDT120,39,205.35892857142858,13.785650790934463,3
queue-CDT120,40,187.1732142857143,16.75738671649988,3
queue-CDT120,41,180.9732142857143,15.021386858002,3
queue-CDT120,42,198.3166666666667,16.70796023978242,3
queue-CDT120,43,211.34880952380954,6.736494740928541,3
queue-CDT120,44,227.59047619047615,8.158163350393313,3
queue-CDT120,45,233.67539682539686,11.119533570836285,3
queue-CDT120,46,225.49523809523808,4.4835830545226525,3
queue-CDT120,47,207.80952380952382,15.694418176688233,3
queue-CDT120,48,190.34761904761908,6.99528023586127,3
queue-CDT120,49,179.80185185185186,2.193031073210274,3
queue-CDT120,50,199.3125,4.278416032832703,3
queue-CDT120,51,197.27440476190478,6.9148650171773,3
queue-CDT120,52,221.4357142857143,1.7688777717605348,3
queue-CDT120,53,227.7936507936508,0.849040185493897,3
queue-CDT120,54,216.45714285714288,5.966556453966318,3
queue-CDT120,55,199.4,3.2813324819565217,3
queue-CDT120,56,191.85416666666666,10.86186227510428,3
queue-CDT120,57,178.05238095238096,17.140620885888048,3
queue-CDT120,58,177.98333333333335,14.035503716765312,3
queue-CDT120,59,229.77619047619046,19.517205038555247,3
queue-CDT120,60,284.23809523809524,55.81033174289238,3
queue-CDT120,61,245.1547619047619,56.94574231693893,3
queue-CDT120,62,218.3674603174603,6.657023780073608,3
queue-CDT120,63,213.9279761904762,23.83008826946036,3
queue-CDT120,64,190.82083333333333,32.11457010934169,3
queue-CDT120,65,189.28214285714284,8.865669139197236,3
queue-CDT120,66,193.08809523809524,14.06268098900914,3
queue-CDT120,67,206.13154761904764,14.792712320518477,3
queue-CDT120,68,213.09583333333333,11.417573717008938,3
queue-CDT120,69,226.49920634920636,7.0870295811575845,3
queue-CDT120,70,257.8001587301587,2.4580189621813346,3
queue-CDT120,71,282.015873015873,46.28327676643962,3
queue-CDT300,0,0.0,0.0,5
queue-CDT300,1,538.2957142857142,498.0943672318012,5
queue-CDT300,2,182.22178571428572,29.275114109469314,5
queue-CDT300,3,363.63,80.1544576310326,5
queue-CDT300,4,558.65,54.97627595942953,5
queue-CDT300,5,426.21035714285716,102.23891094564752,5
queue-CDT300,6,400.53809523809525,89.01632734193603,5
queue-CDT300,7,409.62,160.95119451047725,5
queue-CDT300,8,323.9139285714285,117.92361150824699,5
queue-CDT300,9,262.7811111111111,35.32830145339763,5
queue-CDT300,10,222.19714285714286,3.498066521345047,5
queue-CDT300,11,222.06726190476192,12.708672879371596,5
queue-CDT300,12,220.39678571428573,23.792707318758882,5
queue-CDT300,13,236.6507142857143,11.73481335121079,5
queue-CDT300,14,246.6864285714286,56.34915016652687,5
queue-CDT300,15,216.70178571428573,13.119064376987836,5
queue-CDT300,16,230.64499999999998,13.196421225592394,5
queue-CDT300,17,314.87857142857143,75.75700311131745,5
