Autoscaler,DisplayName,Run,File,ScaleUpEvents,ScaleDownEvents,DecisionEvents,TotalScalingMagnitude
queue-CDT120,Queue-CDT120,1,queue-CDT120-1.csv,34,13,47,69.42857142857144
queue-CDT120,Queue-CDT120,2,queue-CDT120-2.csv,35,17,52,82.9642857142857
queue-CDT120,Queue-CDT120,3,queue-CDT120-3.csv,34,12,46,63.333333333333336
queue-CDT300,Queue-CDT300,1,queue-CDT300-1.csv,22,8,30,37.8095238095238
queue-CDT300,Queue-CDT300,2,queue-CDT300-2.csv,23,9,32,43.0
queue-CDT300,Queue-CDT300,3,queue-CDT300-3.csv,21,7,28,31.0
queue-CDT300,Queue-CDT300,4,queue-CDT300-4.csv,25,7,32,35.10714285714286
queue-CDT300,Queue-CDT300,5,queue-CDT300-5.csv,23,9,32,41.33333333333334
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1.csv,34,23,57,85.97222222222223
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2.csv,33,20,53,77.0
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3.csv,32,20,52,83.86111111111111
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4.csv,35,20,55,77.47222222222223
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5.csv,30,23,53,74.08333333333333
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1.csv,20,8,28,34.5
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2.csv,19,10,29,38.00000000000001
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3.csv,21,10,31,34.361111111111114
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4.csv,20,11,31,36.11111111111111
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5.csv,19,10,29,43.81428571428572
hpa60-CDT120,hpa60-CDT120,1,hpa60-CDT120-2.csv,33,26,59,155.52777777777777
hpa60-CDT120,hpa60-CDT120,2,hpa60-CDT120-3.csv,34,24,58,149.0
hpa60-CDT120,hpa60-CDT120,3,hpa60-CDT120-4.csv,31,21,52,127.46428571428572
hpa60-CDT120,hpa60-CDT120,4,hpa60-CDT120-5.csv,35,23,58,142.42857142857142
hpa60-CDT300,hpa60-CDT300,1,hpa60-CDT300-1.csv,23,12,35,68.5
hpa60-CDT300,hpa60-CDT300,2,hpa60-CDT300-2.csv,27,10,37,69.125
hpa60-CDT300,hpa60-CDT300,3,hpa60-CDT300-3.csv,25,14,39,77.25
hpa60-CDT300,hpa60-CDT300,4,hpa60-CDT300-4.csv,27,13,40,71.94047619047619
hpa60-CDT300,hpa60-CDT300,5,hpa60-CDT300-5.csv,21,10,31,58.71428571428572
