Method,DisplayName,Run,File,SLOViolationRate_percent,TotalRequestCount
queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv,3.2499999999999973,88816
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1_stats_history.csv,4.325000000000001,88807
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2_stats_history.csv,4.5000000000000036,88589
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3_stats_history.csv,4.384615384615387,88501
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4_stats_history.csv,4.522727272727279,88525
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5_stats_history.csv,4.428571428571438,88667
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1_stats_history.csv,4.560975609756102,89011
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2_stats_history.csv,4.714285714285715,88598
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3_stats_history.csv,2.5454545454545507,89267
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4_stats_history.csv,3.500000000000003,89047
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5_stats_history.csv,4.666666666666675,88848
hybrid-CDT120,Hybrid-CDT120,1,hybrid-CDT120-1_stats_history.csv,4.025,89112
hybrid-CDT120,Hybrid-CDT120,2,hybrid-CDT120-2_stats_history.csv,2.0000000000000018,89695
hybrid-CDT120,Hybrid-CDT120,3,hybrid-CDT120-3_stats_history.csv,3.125,89395
hybrid-CDT120,Hybrid-CDT120,4,hybrid-CDT120-4_stats_history.csv,3.9354838709677487,88953
hybrid-CDT120,Hybrid-CDT120,5,hybrid-CDT120-5_stats_history.csv,2.8181818181818197,89317
hybrid-CDT300,Hybrid-CDT300,1,hybrid-CDT300-1_stats_history.csv,2.4499999999999966,89449
hybrid-CDT300,Hybrid-CDT300,2,hybrid-CDT300-2_stats_history.csv,1.9199999999999995,89120
hybrid-CDT300,Hybrid-CDT300,3,hybrid-CDT300-3_stats_history.csv,2.3157894736842155,89116
hybrid-CDT300,Hybrid-CDT300,4,hybrid-CDT300-4_stats_history.csv,3.2413793103448274,89039
hybrid-CDT300,Hybrid-CDT300,5,hybrid-CDT300-5_stats_history.csv,3.1538461538461515,88607
