Method,DisplayName,Minute,MeanLatency_ms,StdLatency_ms,MeanCumulativeSLOViolationRate_percent,StdCumulativeSLOViolationRate_percent,Runs
queue-CDT300,Queue-CDT300,65,360.0,0.0,3.2499999999999973,0.0,1
queue-CDT300,Queue-CDT300,66,360.0,0.0,3.2499999999999973,0.0,1
queue-CDT300,Queue-CDT300,67,360.0,0.0,3.2499999999999973,0.0,1
queue-CDT300,Queue-CDT300,68,360.0,0.0,3.2499999999999973,0.0,1
queue-CDT300,Queue-CDT300,69,360.0,0.0,3.2499999999999973,0.0,1
queue-CDT300,Queue-CDT300,70,360.0,0.0,3.2499999999999973,0.0,1
queue-CDT300,Queue-CDT300,71,360.0,0.0,3.2499999999999973,0.0,1
hpa80-CDT120,HPA80-CDT120,0,390.0,49.99999999999999,3.5369470793619406,0.6695287162895741,5
hpa80-CDT120,HPA80-CDT120,1,286.0,8.94427190999916,2.865604717862782,0.5418463756903916,5
hpa80-CDT120,HPA80-CDT120,2,282.0,10.95445115010332,1.4982633053221295,0.15823902914876248,5
hpa80-CDT120,HPA80-CDT120,3,280.0,7.0710678118654755,1.4196247451751298,0.14440633817110415,5
hpa80-CDT120,HPA80-CDT120,4,278.0,4.472135954999583,0.8831062771679999,0.26034971803098406,5
hpa80-CDT120,HPA80-CDT120,5,276.0,5.477225575051665,0.7655180978103782,0.1239605298571818,5
hpa80-CDT120,HPA80-CDT120,6,276.0,5.477225575051665,0.7269483362191043,0.12230287765354553,5
hpa80-CDT120,HPA80-CDT120,7,276.0,5.477225575051665,0.7261343355876781,0.13034308005101436,5
hpa80-CDT120,HPA80-CDT120,8,278.0,8.366600265340756,0.7348837222320515,0.15500579841548554,5
hpa80-CDT120,HPA80-CDT120,9,282.0,16.43167672515499,0.8027672875175451,0.2802546264660404,5
hpa80-CDT120,HPA80-CDT120,10,284.0,15.165750888103107,0.8744570149202889,0.4179582738074367,5
hpa80-CDT120,HPA80-CDT120,11,286.0,19.493588689617926,0.8872402661518164,0.43434591940213985,5
hpa80-CDT120,HPA80-CDT120,12,286.0,19.493588689617926,0.8833216986236824,0.43579002168442293,5
hpa80-CDT120,HPA80-CDT120,13,286.0,19.493588689617926,0.8884439054520342,0.4101183004261145,5
hpa80-CDT120,HPA80-CDT120,14,282.0,16.43167672515499,0.8419920289258908,0.33718568611276434,5
hpa80-CDT120,HPA80-CDT120,15,284.0,15.165750888103107,0.8336886102403351,0.28692025048689973,5
hpa80-CDT120,HPA80-CDT120,16,282.0,10.954451150103317,0.8172297447280809,0.2660745333992781,5
hpa80-CDT120,HPA80-CDT120,17,282.0,10.954451150103317,0.762684290182627,0.1534874298073903,5
hpa80-CDT120,HPA80-CDT120,18,282.0,10.954451150103317,0.7567557973054151,0.1460883896936184,5
hpa80-CDT120,HPA80-CDT120,19,282.0,10.954451150103317,0.7504394194041253,0.1484239168946332,5
hpa80-CDT120,HPA80-CDT120,20,282.0,10.954451150103317,0.7467620000492858,0.1511184961095882,5
hpa80-CDT120,HPA80-CDT120,21,288.0,13.038404810405291,0.9014116488029543,0.1809643782163271,5
hpa80-CDT120,HPA80-CDT120,22,288.0,13.038404810405291,0.8537120408753518,0.08217938265811135,5
hpa80-CDT120,HPA80-CDT120,23,320.0,10.0,2.008809523809525,0.41138454625563875,5
hpa80-CDT120,HPA80-CDT120,24,322.0,8.366600265340756,2.0109625668449227,0.456605507953976,5
hpa80-CDT120,HPA80-CDT120,25,318.0,8.366600265340756,1.924080086580091,0.33533381254436007,5
hpa80-CDT120,HPA80-CDT120,26,318.0,8.366600265340756,1.8153182788051225,0.23677674879245275,5
hpa80-CDT120,HPA80-CDT120,27,314.0,11.40175425099138,1.7777374360741516,0.23945289153258378,5
hpa80-CDT120,HPA80-CDT120,28,312.0,8.366600265340756,1.7309532544826678,0.2411409392565699,5
